k=3,k=4,k=5,k=6,k=7,
0.527763088,0.596245373,0.566737176,0.547276573,0.563828662,
0.521311475,0.608831306,0.547488102,0.569487044,0.589846642,
0.557059757,0.544050767,0.56631412,0.566684294,0.573188789,
0.524537282,0.543733474,0.579640402,0.576943416,0.563194077,
0.553781068,0.586303543,0.609360127,0.557377049,0.589846642,
0.527604442,0.570227393,0.602379693,0.547170809,0.560444209,
0.517979905,0.579640402,0.579957694,0.557006875,0.553781068,
0.494923321,0.576573242,0.616234796,0.579693284,0.586250661,
0.541195135,0.560285563,0.563722898,0.582866208,0.554257007,
0.546853517,0.596086727,0.576626124,0.557218403,0.579799048,
0.530671602,0.576837652,0.59592808,0.563617134,0.605658382,
0.566261237,0.62194606,0.53061872,0.667477525,0.560126917,
0.511316764,0.56684294,0.559862507,0.563987308,0.573188789,
0.533844527,0.573188789,0.579957694,0.60893707,0.544103649,
0.576679006,0.579799048,0.563722898,0.563405605,0.550978318,
0.556901111,0.570280275,0.57704918,0.563458488,0.628291909,
0.563405605,0.563405605,0.573506081,0.612374405,0.605817028,
0.547223691,0.560021153,0.56377578,0.573083025,0.563617134,
0.534161819,0.560602856,0.573506081,0.533897409,0.524643046,
0.55050238,0.543997885,0.563670016,0.586409307,0.576679006,
0.511581174,0.582813326,0.566367002,0.592808038,0.606028556,
0.53749339,0.557112639,0.573453199,0.582760444,0.576467478,
0.517874141,0.570174511,0.570121629,0.592913802,0.609254363,
0.573241671,0.52755156,0.573347435,0.579957694,0.563299841,
0.566948704,0.583342147,0.580116341,0.586673718,0.60586991,
0.560285563,0.547540984,0.563722898,0.566895822,0.569487044,
0.537704918,0.56657853,0.536911687,0.557377049,0.583077737,
0.54056055,0.531676362,0.573453199,0.615864622,0.563405605,
0.56351137,0.618561608,0.586409307,0.556901111,0.560444209,
0.527921735,0.599259651,0.586356425,0.56657853,0.563405605,
0.530671602,0.55383395,0.596086727,0.567160233,0.570015865,
0.511158117,0.589952406,0.556425172,0.53749339,0.566737176,
0.556689582,0.569592808,0.605711264,0.57678477,0.576731888,
0.550872554,0.585986251,0.599312533,0.57678477,0.596192491,
0.508090957,0.573294553,0.573241671,0.580274987,0.560444209,
0.517874141,0.583130619,0.612162877,0.586515071,0.563299841,
0.547012163,0.599153887,0.553728186,0.57985193,0.586303543,
0.531200423,0.612638815,0.599682708,0.56684294,0.579640402,
0.550026441,0.547329455,0.569857218,0.596192491,0.586462189,
0.570227393,0.576626124,0.576308831,0.566684294,0.563246959,
0.505235325,0.570068747,0.57958752,0.540877842,0.583024855,
0.511369646,0.508038075,0.576414595,0.534003173,0.582707562,
0.573135907,0.576361713,0.606081438,0.606345849,0.543786356,
0.547593866,0.612215759,0.566895822,0.618720254,0.559809625,
0.537334744,0.556901111,0.59286092,0.60586991,0.560285563,
0.53749339,0.560391327,0.573294553,0.622686409,0.599153887,
0.547329455,0.557271285,0.566472766,0.585933369,0.5377578,
0.550396616,0.576626124,0.56351137,0.534267583,0.589635114,
0.537440508,0.557006875,0.572871497,0.537810682,0.546959281,
0.560655738,0.576626124,0.570227393,0.553728186,0.560021153,
0.534108937,0.576414595,0.609042834,0.556953993,0.570280275,
0.528080381,0.559915389,0.579640402,0.60280275,0.517874141,
0.547540984,0.566737176,0.54082496,0.576890534,0.546959281,
0.534003173,0.586197779,0.573558964,0.54082496,0.583024855,
0.50840825,0.560285563,0.579375992,0.615758858,0.569434162,
0.530830249,0.582971973,0.579799048,0.589582232,0.527340032,
0.537176097,0.540243258,0.560285563,0.579799048,0.619090428,
0.563828662,0.570174511,0.599153887,0.592702274,0.582813326,
0.543839238,0.596351137,0.599365415,0.583130619,0.540613432,
0.495293496,0.57678477,0.641671074,0.544209413,0.569804336,
0.567054469,0.609095717,0.579534638,0.585774722,0.570227393,
0.537546272,0.57678477,0.573030143,0.556795346,0.570068747,
0.550396616,0.595980962,0.553728186,0.56657853,0.605182443,
0.537704918,0.520994183,0.569751454,0.6056055,0.599418297,
0.553516658,0.569698572,0.602644104,0.579799048,0.573188789,
0.543839238,0.583183501,0.59286092,0.537440508,0.58979376,
0.51760973,0.608831306,0.576414595,0.57985193,0.567054469,
0.560391327,0.560497091,0.546906399,0.573030143,0.583077737,
0.57985193,0.58265468,0.547540984,0.563246959,0.556901111,
0.501745108,0.563458488,0.599629825,0.56351137,0.547065045,
0.560285563,0.55050238,0.58952935,0.570174511,0.583236383,
0.533950291,0.534003173,0.530830249,0.550872554,0.592966684,
0.537387626,0.586303543,0.567001586,0.573400317,0.553675304,
0.491485986,0.58291909,0.58979376,0.592543628,0.550449498,
0.557112639,0.56351137,0.557112639,0.559968271,0.556848228,
0.586144897,0.593178213,0.566419884,0.560761502,0.602485457,
0.554045479,0.566737176,0.57985193,0.547435219,0.531094659,
0.517821259,0.579375992,0.58979376,0.573135907,0.560549974,
