".","nnGroupCat","Compound","GroupCat","AtomicMassofX","AtomicMassofXprime","AtomicMassofB","AtomicMassofBprime","AtomicMassofA","AtomicMassofAprime","ARENofX","ARENofXprime","ARENofB","ARENofBprime","ARENofA","ARENofAprime","r_XIIofA","r_XIIofAprime","r_VIofBprime","r_VIofB","rofX","rofXprime","CrystalRadiusofA","CrystalRadiusofAprime","CrystalRadiusofBprime","CrystalRadiusofX","CrystalRadiusofXprime","CrystalRadiusofB","IonicRadiiofX","IonicRadiiofXprime","IonicRadiiofB","IonicRadiiofBprime","IonicRadiiofA","IonicRadiiofAprime","IonizationPotentialofX","IonizationPotentialofXprime","IonizationPotentialofB","IonizationPotentialofBprime","IonizationPotentialofA","IonizationPotentialofAprime","PaulingENofX","PaulingENofXprime","PaulingENofB","PaulingENofBprime","PaulingENofA","PaulingENofAprime","ZungerRadiiofX","ZungerRadiiofXprime","ZungerRadiiofB","ZungerRadiiofBprime","ZungerRadiiofA","ZungerRadiiofAprime","BoilingPtofA","BoilingPtofAprime","BoilingPtofB","BoilingPtofX","BoilingPtofXprime","BoilingPtofBprime","CoefficientofLinearThermalExpansionatSpecofA","CoefficientofLinearThermalExpansionatSpecofAprime","CoefficientofLinearThermalExpansionatSpecofB","CoefficientofLinearThermalExpansionatSpecofBprime","DensityatSpecofA","DensityatSpecofAprime","DensityatSpecofB","DensityatSpecofBprime","EnthalpyofFusionofA","EnthalpyofFusionofAprime","EnthalpyofFusionofB","EnthalpyofFusionofBprime","MeltingPtofA","MeltingPtofAprime","MeltingPtofB","MeltingPtofBprime","SpecificHeatCapacityofA","SpecificHeatCapacityofAprime","SpecificHeatCapacityofB","SpecificHeatCapacityofBprime","ThermalHeatConductivityofA","ThermalHeatConductivityofAprime","ThermalHeatConductivityofB","ThermalHeatConductivityofBprime","rA","rB","rX","ToleranceBVP"
2,"3","KZnF3",3,18.9984032,18.9984032,65.409,65.409,39.0983,39.0983,4.1,4.1,1.66,1.66,0.91,0.91,1.841,1.841,0.9,0.9,1.145,1.145,1.52,1.52,0.88,1.19,1.19,0.88,1.33,1.33,0.74,0.74,1.38,1.38,17.42282,17.42282,9.3942,9.3942,4.34066,4.34066,3.98,3.98,1.65,1.65,0.82,0.82,0.25,0.25,0.82,0.82,1.54,1.54,759,759,907,-188.11,-188.11,907,83.3,83.3,30.2,30.2,0.89,0.89,7.14,7.14,59.6,59.6,108.1,108.1,63.38,63.38,419.53,419.53,0.757,0.757,0.388,0.388,1.024,1.024,1.16,1.16,1.841,0.9,1.145,1.032479633
1,"5","La2CoFeO6",5,15.9994,15.9994,58.9332,55.845,138.9055,138.9055,3.5,3.5,1.7,1.64,1.08,1.08,1.475,1.475,0.805,0.683,1.21,1.21,1.172,1.172,0.69,1.26,1.26,0.75,1.4,1.4,0.55,0.55,1.03,1.03,13.61806,13.61806,7.881,7.9024,5.5769,5.5769,3.44,3.44,1.88,1.83,1.1,1.1,0.285,0.285,0.92,0.95,1.375,1.375,3464,3464,2927,-182.962,-182.962,2861,12.1,12.1,13,11.8,6.15,6.15,8.86,7.87,44.6,44.6,272.5,247.3,918,918,1495,1538,0.195,0.195,0.421,0.449,0.134,0.134,1,0.802,1.475,0.744,1.21,0.97163854
1,"5","La2GaCoO6",5,15.9994,15.9994,69.723,58.9332,138.9055,138.9055,3.5,3.5,1.82,1.7,1.08,1.08,1.475,1.475,0.683,0.776,1.21,1.21,1.172,1.172,0.75,1.26,1.26,0.76,1.4,1.4,0.62,0.55,1.03,1.03,13.61806,13.61806,5.9993,7.881,5.5769,5.5769,3.44,3.44,1.81,1.88,1.1,1.1,0.285,0.285,0.76,0.92,1.375,1.375,3464,3464,2204,-182.962,-182.962,2927,12.1,12.1,18,13,6.15,6.15,5.91,8.86,44.6,44.6,80,272.5,918,918,29.767,1495,0.195,0.195,0.374,0.421,0.134,0.134,0.406,1,1.475,0.7295,1.21,0.978902659
1,"5","La2GaFeO6",5,15.9994,15.9994,69.723,55.845,138.9055,138.9055,3.5,3.5,1.82,1.64,1.08,1.08,1.475,1.475,0.805,0.776,1.21,1.21,1.172,1.172,0.69,1.26,1.26,0.76,1.4,1.4,0.62,0.55,1.03,1.03,13.61806,13.61806,5.9993,7.9024,5.5769,5.5769,3.44,3.44,1.81,1.83,1.1,1.1,0.285,0.285,0.76,0.95,1.375,1.375,3464,3464,2204,-182.962,-182.962,2861,12.1,12.1,18,11.8,6.15,6.15,5.91,7.87,44.6,44.6,80,247.3,918,918,29.767,1538,0.195,0.195,0.374,0.449,0.134,0.134,0.406,0.802,1.475,0.7905,1.21,0.94905359
2,"3","La2MgZrO6",3,15.9994,15.9994,24.305,91.224,138.9055,138.9055,3.5,3.5,1.23,1.22,1.08,1.08,1.475,1.475,0.868,0.889,1.21,1.21,1.172,1.172,0.86,1.26,1.26,0.86,1.4,1.4,0.72,0.72,1.03,1.03,13.61806,13.61806,7.64624,6.6339,5.5769,5.5769,3.44,3.44,1.31,1.33,1.1,1.1,0.285,0.285,0.9,1.265,1.375,1.375,3464,3464,1090,-182.962,-182.962,4409,12.1,12.1,24.8,5.7,6.15,6.15,1.74,6.52,44.6,44.6,348.9,230.2,918,918,650,1854,0.195,0.195,1.024,0.278,0.134,0.134,1.56,0.227,1.475,0.8785,1.21,0.909064739
1,"5","La2NiCoO6",5,15.9994,15.9994,58.6934,58.9332,138.9055,138.9055,3.5,3.5,1.75,1.7,1.08,1.08,1.475,1.475,0.683,0.786,1.21,1.21,1.172,1.172,0.75,1.26,1.26,0.7,1.4,1.4,0.56,0.55,1.03,1.03,13.61806,13.61806,7.6398,7.881,5.5769,5.5769,3.44,3.44,1.91,1.88,1.1,1.1,0.285,0.285,0.96,0.92,1.375,1.375,3464,3464,2913,-182.962,-182.962,2927,12.1,12.1,13.4,13,6.15,6.15,8.9,8.86,44.6,44.6,290.3,272.5,918,918,1455,1495,0.195,0.195,0.445,0.421,0.134,0.134,0.907,1,1.475,0.7345,1.21,0.976385553
1,"5","LaFeO3",5,15.9994,15.9994,55.845,55.845,138.9055,138.9055,3.5,3.5,1.64,1.64,1.08,1.08,1.475,1.475,0.805,0.805,1.21,1.21,1.172,1.172,0.69,1.26,1.26,0.69,1.4,1.4,0.55,0.55,1.03,1.03,13.61806,13.61806,7.9024,7.9024,5.5769,5.5769,3.44,3.44,1.83,1.83,1.1,1.1,0.285,0.285,0.95,0.95,1.375,1.375,3464,3464,2861,-182.962,-182.962,2861,12.1,12.1,11.8,11.8,6.15,6.15,7.87,7.87,44.6,44.6,247.3,247.3,918,918,1538,1538,0.195,0.195,0.449,0.449,0.134,0.134,0.802,0.802,1.475,0.805,1.21,0.942224172
3,"16","Li3CrF6",4,18.9984032,18.9984032,6.941,51.9961,6.941,6.941,4.1,4.1,0.97,1.56,0.97,0.97,1.175,1.175,0.77,0.919,1.145,1.145,0.9,0.9,0.755,1.19,1.19,0.9,1.33,1.33,0.76,0.62,0.76,0.76,17.42282,17.42282,5.39172,6.7665,5.39172,5.39172,3.98,3.98,0.98,1.66,0.98,0.98,0.25,0.25,0.985,1.07,0.985,0.985,1342,1342,1342,-188.11,-188.11,2671,46,46,46,4.9,0.534,0.534,0.534,7.15,432,432,432,404,180.5,180.5,180.5,1907,3.57,3.57,3.57,0.45,0.847,0.847,0.847,0.937,1.175,0.8445,1.145,0.824572874
3,"16","Li3CrF6",16,18.9984032,18.9984032,6.941,51.9961,6.941,6.941,4.1,4.1,0.97,1.56,0.97,0.97,1.175,1.175,0.77,0.919,1.145,1.145,0.9,0.9,0.755,1.19,1.19,0.9,1.33,1.33,0.76,0.62,0.76,0.76,17.42282,17.42282,5.39172,6.7665,5.39172,5.39172,3.98,3.98,0.98,1.66,0.98,0.98,0.25,0.25,0.985,1.07,0.985,0.985,1342,1342,1342,-188.11,-188.11,2671,46,46,46,4.9,0.534,0.534,0.534,7.15,432,432,432,404,180.5,180.5,180.5,1907,3.57,3.57,3.57,0.45,0.847,0.847,0.847,0.937,1.175,0.8445,1.145,0.824572874
3,"16","Li3GaF6",16,18.9984032,18.9984032,6.941,69.723,6.941,6.941,4.1,4.1,0.97,1.82,0.97,0.97,1.175,1.175,0.776,0.919,1.145,1.145,0.9,0.9,0.76,1.19,1.19,0.9,1.33,1.33,0.76,0.62,0.76,0.76,17.42282,17.42282,5.39172,5.9993,5.39172,5.39172,3.98,3.98,0.98,1.81,0.98,0.98,0.25,0.25,0.985,0.76,0.985,0.985,1342,1342,1342,-188.11,-188.11,2204,46,46,46,18,0.534,0.534,0.534,5.91,432,432,432,80,180.5,180.5,180.5,29.767,3.57,3.57,3.57,0.374,0.847,0.847,0.847,0.406,1.175,0.8475,1.145,0.823331359
3,"16","Li3VF6",16,18.9984032,18.9984032,6.941,50.9415,6.941,6.941,4.1,4.1,0.97,1.45,0.97,0.97,1.175,1.175,0.789,0.919,1.145,1.145,0.9,0.9,0.78,1.19,1.19,0.9,1.33,1.33,0.76,0.64,0.76,0.76,17.42282,17.42282,5.39172,6.7462,5.39172,5.39172,3.98,3.98,0.98,1.63,0.98,0.98,0.25,0.25,0.985,1.09,0.985,0.985,1342,1342,1342,-188.11,-188.11,3407,46,46,46,8.4,0.534,0.534,0.534,6,432,432,432,422,180.5,180.5,180.5,1910,3.57,3.57,3.57,0.489,0.847,0.847,0.847,0.307,1.175,0.854,1.145,0.820654193
2,"3","LiBaF3",3,18.9984032,18.9984032,6.941,6.941,137.327,137.327,4.1,4.1,0.97,0.97,0.97,0.97,1.738,1.738,0.919,0.919,1.145,1.145,1.49,1.49,0.9,1.19,1.19,0.9,1.33,1.33,0.76,0.76,1.35,1.35,17.42282,17.42282,5.39172,5.39172,5.2117,5.2117,3.98,3.98,0.98,0.98,0.89,0.89,0.25,0.25,0.985,0.985,1.515,1.515,1897,1897,1342,-188.11,-188.11,1342,20.6,20.6,46,46,3.62,3.62,0.534,0.534,51.8,51.8,432,432,727,727,180.5,180.5,0.205,0.205,3.57,3.57,0.184,0.184,0.847,0.847,1.738,0.919,1.145,0.987688396
3,"16","LiSbO3",16,15.9994,15.9994,121.76,121.76,6.941,6.941,3.5,3.5,1.82,1.82,0.97,0.97,1.175,1.175,0.799,0.799,1.21,1.21,0.9,0.9,0.74,1.26,1.26,0.74,1.4,1.4,0.6,0.6,0.76,0.76,13.61806,13.61806,8.6084,8.6084,5.39172,5.39172,3.44,3.44,2.05,2.05,0.98,0.98,0.285,0.285,0.83,0.83,0.985,0.985,1342,1342,1587,-182.962,-182.962,1587,46,46,11,11,0.534,0.534,6.68,6.68,432,432,162.5,162.5,180.5,180.5,630.63,630.63,3.57,3.57,0.207,0.207,0.847,0.847,0.243,0.243,1.175,0.799,1.21,0.839447324
3,"16","LiVO3",16,15.9994,15.9994,50.9415,50.9415,6.941,6.941,3.5,3.5,1.45,1.45,0.97,0.97,1.175,1.175,0.66,0.66,1.21,1.21,0.9,0.9,0.68,1.26,1.26,0.68,1.4,1.4,0.54,0.54,0.76,0.76,13.61806,13.61806,6.7462,6.7462,5.39172,5.39172,3.44,3.44,1.63,1.63,0.98,0.98,0.285,0.285,1.09,1.09,0.985,0.985,1342,1342,3407,-182.962,-182.962,3407,46,46,8.4,8.4,0.534,0.534,6,6,432,432,422,422,180.5,180.5,1910,1910,3.57,3.57,0.489,0.489,0.847,0.847,0.307,0.307,1.175,0.66,1.21,0.901844745
5,"2","MgTiO3",2,15.9994,15.9994,47.867,47.867,24.305,24.305,3.5,3.5,1.32,1.32,1.23,1.23,1.146,1.146,0.755,0.755,1.21,1.21,0.86,0.86,0.745,1.26,1.26,0.745,1.4,1.4,0.61,0.61,0.72,0.72,13.61806,13.61806,6.8281,6.8281,7.64624,7.64624,3.44,3.44,1.54,1.54,1.31,1.31,0.285,0.285,1.15,1.15,0.9,0.9,1090,1090,3287,-182.962,-182.962,3287,24.8,24.8,8.6,8.6,1.74,1.74,4.51,4.51,348.9,348.9,295.6,295.6,650,650,1670,1670,1.024,1.024,0.522,0.522,1.56,1.56,0.219,0.219,1.146,0.755,1.21,0.847808436
5,"2","MnSnO3",2,15.9994,15.9994,118.71,118.71,54.938049,54.938049,3.5,3.5,1.72,1.72,1.6,1.6,1.243,1.243,0.845,0.845,1.21,1.21,0.81,0.81,0.83,1.26,1.26,0.83,1.4,1.4,0.69,0.69,0.83,0.83,13.61806,13.61806,7.3439,7.3439,7.43402,7.43402,3.44,3.44,1.96,1.96,1.55,1.55,0.285,0.285,0.88,0.88,0.99,0.99,2061,2061,2602,-182.962,-182.962,2602,21.7,21.7,22,22,7.3,7.3,7.26,7.26,235,235,60.4,60.4,1246,1246,231.93,231.93,0.479,0.479,0.227,0.227,0.0782,0.0782,0.666,0.666,1.243,0.845,1.21,0.844054956
2,"3","Na2BeF4",14,18.9984032,18.9984032,9.012182,9.012182,22.98977,22.98977,4.1,4.1,1.47,1.47,1.01,1.01,1.512,1.512,0.577,0.577,1.145,1.145,1.16,1.16,0.59,1.19,1.19,0.59,1.33,1.33,0.45,0.45,1.02,1.02,17.42282,17.42282,9.3227,9.3227,5.13908,5.13908,3.98,3.98,1.57,1.57,0.93,0.93,0.25,0.25,0.64,0.64,1.1,1.1,882.94,882.94,2471,-188.11,-188.11,2471,71,71,11.3,11.3,0.97,0.97,1.85,1.85,113.1,113.1,876,876,97.79,97.79,1287,1287,1.225,1.225,1.82,1.82,1.41,1.41,2,2,1.512,0.577,1.145,1.091046874
3,"16","Na2CoCl4",14,35.453,35.453,58.9332,58.9332,22.98977,22.98977,2.83,2.83,1.7,1.7,1.01,1.01,1.512,1.512,0.888,0.888,1.67,1.67,1.16,1.16,0.79,1.67,1.67,0.79,1.81,1.81,0.65,0.65,1.02,1.02,12.96764,12.96764,7.881,7.881,5.13908,5.13908,3.16,3.16,1.88,1.88,0.93,0.93,0.5,0.5,0.92,0.92,1.1,1.1,882.94,882.94,2927,-34.04,-34.04,2927,71,71,13,13,0.97,0.97,8.86,8.86,113.1,113.1,272.5,272.5,97.79,97.79,1495,1495,1.225,1.225,0.421,0.421,1.41,1.41,1,1,1.512,0.888,1.67,0.879598819
1,"5","Na2LiAlF6",5,18.9984032,18.9984032,6.941,26.981538,22.98977,22.98977,4.1,4.1,0.97,1.47,1.01,1.01,1.512,1.512,0.666,0.919,1.145,1.145,1.16,1.16,0.675,1.19,1.19,0.9,1.33,1.33,0.76,0.54,1.02,1.02,17.42282,17.42282,5.39172,5.98577,5.13908,5.13908,3.98,3.98,0.98,1.61,0.93,0.93,0.25,0.25,0.985,0.77,1.1,1.1,882.94,882.94,1342,-188.11,-188.11,2519,71,71,46,23.1,0.97,0.97,0.534,2.7,113.1,113.1,432,399.9,97.79,97.79,180.5,660.32,1.225,1.225,3.57,0.904,1.41,1.41,0.847,2.37,1.512,0.7925,1.145,0.969694306
1,"5","Na2ZnCl4",14,35.453,35.453,65.409,65.409,22.98977,22.98977,2.83,2.83,1.66,1.66,1.01,1.01,1.512,1.512,0.9,0.9,1.67,1.67,1.16,1.16,0.88,1.67,1.67,0.88,1.81,1.81,0.74,0.74,1.02,1.02,12.96764,12.96764,9.3942,9.3942,5.13908,5.13908,3.16,3.16,1.65,1.65,0.93,0.93,0.5,0.5,0.82,0.82,1.1,1.1,882.94,882.94,907,-34.04,-34.04,907,71,71,30.2,30.2,0.97,0.97,7.14,7.14,113.1,113.1,108.1,108.1,97.79,97.79,419.53,419.53,1.225,1.225,0.388,0.388,1.41,1.41,1.16,1.16,1.512,0.9,1.67,0.875491742
1,"5","Na3AlF6",5,18.9984032,18.9984032,22.98977,26.981538,22.98977,22.98977,4.1,4.1,1.01,1.47,1.01,1.01,1.512,1.512,0.666,1.256,1.145,1.145,1.16,1.16,0.675,1.19,1.19,1.16,1.33,1.33,1.02,0.54,1.02,1.02,17.42282,17.42282,5.13908,5.98577,5.13908,5.13908,3.98,3.98,0.93,1.61,0.93,0.93,0.25,0.25,1.1,0.77,1.1,1.1,882.94,882.94,882.94,-188.11,-188.11,2519,71,71,71,23.1,0.97,0.97,0.97,2.7,113.1,113.1,113.1,399.9,97.79,97.79,97.79,660.32,1.225,1.225,1.225,0.904,1.41,1.41,1.41,2.37,1.512,0.961,1.145,0.892109553
1,"5","Na3CrF6",5,18.9984032,18.9984032,22.98977,51.9961,22.98977,22.98977,4.1,4.1,1.01,1.56,1.01,1.01,1.512,1.512,0.77,1.256,1.145,1.145,1.16,1.16,0.755,1.19,1.19,1.16,1.33,1.33,1.02,0.62,1.02,1.02,17.42282,17.42282,5.13908,6.7665,5.13908,5.13908,3.98,3.98,0.93,1.66,0.93,0.93,0.25,0.25,1.1,1.07,1.1,1.1,882.94,882.94,882.94,-188.11,-188.11,2671,71,71,71,4.9,0.97,0.97,0.97,7.15,113.1,113.1,113.1,404,97.79,97.79,97.79,1907,1.225,1.225,1.225,0.45,1.41,1.41,1.41,0.937,1.512,1.013,1.145,0.870612937
5,"2","Na3MoO3F3",2,15.9994,18.9984032,22.98977,95.94,22.98977,22.98977,3.5,4.1,1.01,1.3,1.01,1.01,1.512,1.512,0.7,1.256,1.21,1.145,1.16,1.16,0.73,1.26,1.19,1.16,1.4,1.33,1.02,0.59,1.02,1.02,13.61806,17.42282,5.13908,7.09243,5.13908,5.13908,3.44,3.98,0.93,2.16,0.93,0.93,0.285,0.25,1.1,1.22,1.1,1.1,882.94,882.94,882.94,-182.962,-188.11,4639,71,71,71,4.8,0.97,0.97,0.97,10.2,113.1,113.1,113.1,390.7,97.79,97.79,97.79,2622,1.225,1.225,1.225,0.251,1.41,1.41,1.41,1.38,1.512,0.978,1.1775,0.882284244
3,"16","NaIrO3",11,15.9994,15.9994,192.217,192.217,22.98977,22.98977,3.5,3.5,1.55,1.55,1.01,1.01,1.512,1.512,0.773,0.773,1.21,1.21,1.16,1.16,0.71,1.26,1.26,0.71,1.4,1.4,0.57,0.57,1.02,1.02,13.61806,13.61806,8.967,8.967,5.13908,5.13908,3.44,3.44,2.2,2.2,0.93,0.93,0.285,0.285,1.16,1.16,1.1,1.1,882.94,882.94,4428,-182.962,-182.962,4428,71,71,6.4,6.4,0.97,0.97,22.5,22.5,113.1,113.1,213.9,213.9,97.79,97.79,2446,2446,1.225,1.225,0.131,0.131,1.41,1.41,1.47,1.47,1.512,0.773,1.21,0.970622621
5,"2","NaMnCl3",2,35.453,35.453,54.938049,54.938049,22.98977,22.98977,2.83,2.83,1.6,1.6,1.01,1.01,1.512,1.512,0.986,0.986,1.67,1.67,1.16,1.16,0.81,1.67,1.67,0.81,1.81,1.81,0.83,0.83,1.02,1.02,12.96764,12.96764,7.43402,7.43402,5.13908,5.13908,3.16,3.16,1.55,1.55,0.93,0.93,0.5,0.5,0.99,0.99,1.1,1.1,882.94,882.94,2061,-34.04,-34.04,2061,71,71,21.7,21.7,0.97,0.97,7.3,7.3,113.1,113.1,235,235,97.79,97.79,1246,1246,1.225,1.225,0.479,0.479,1.41,1.41,0.0782,0.0782,1.512,0.986,1.67,0.847143742
2,"3","NaVF3",3,18.9984032,18.9984032,50.9415,50.9415,22.98977,22.98977,4.1,4.1,1.45,1.45,1.01,1.01,1.512,1.512,0.896,0.896,1.145,1.145,1.16,1.16,0.93,1.19,1.19,0.93,1.33,1.33,0.79,0.79,1.02,1.02,17.42282,17.42282,6.7462,6.7462,5.13908,5.13908,3.98,3.98,1.63,1.63,0.93,0.93,0.25,0.25,1.09,1.09,1.1,1.1,882.94,882.94,3407,-188.11,-188.11,3407,71,71,8.4,8.4,0.97,0.97,6,6,113.1,113.1,422,422,97.79,97.79,1910,1910,1.225,1.225,0.489,0.489,1.41,1.41,0.307,0.307,1.512,0.896,1.145,0.920520685
2,"3","NaWO3",3,15.9994,15.9994,183.84,183.84,22.98977,22.98977,3.5,3.5,1.4,1.4,1.01,1.01,1.512,1.512,0.747,0.747,1.21,1.21,1.16,1.16,0.76,1.26,1.26,0.76,1.4,1.4,0.62,0.62,1.02,1.02,13.61806,13.61806,7.864,7.864,5.13908,5.13908,3.44,3.44,1.7,1.7,0.93,0.93,0.285,0.285,1.22,1.22,1.1,1.1,882.94,882.94,5555,-182.962,-182.962,5555,71,71,4.5,4.5,0.97,0.97,19.3,19.3,113.1,113.1,284.5,284.5,97.79,97.79,3414,3414,1.225,1.225,0.132,0.132,1.41,1.41,1.74,1.74,1.512,0.747,1.21,0.983517965
5,"2","NiMnO3",2,15.9994,15.9994,54.938049,54.938049,58.6934,58.6934,3.5,3.5,1.6,1.6,1.75,1.75,1.107,1.107,0.693,0.693,1.21,1.21,0.83,0.83,0.67,1.26,1.26,0.67,1.4,1.4,0.53,0.53,0.69,0.69,13.61806,13.61806,7.43402,7.43402,7.6398,7.6398,3.44,3.44,1.55,1.55,1.91,1.91,0.285,0.285,0.99,0.99,0.96,0.96,2913,2913,2061,-182.962,-182.962,2061,13.4,13.4,21.7,21.7,8.9,8.9,7.3,7.3,290.3,290.3,235,235,1455,1455,1246,1246,0.445,0.445,0.479,0.479,0.907,0.907,0.0782,0.0782,1.107,0.693,1.21,0.860938735
5,"2","NiTiO3",2,15.9994,15.9994,47.867,47.867,58.6934,58.6934,3.5,3.5,1.32,1.32,1.75,1.75,1.107,1.107,0.755,0.755,1.21,1.21,0.83,0.83,0.745,1.26,1.26,0.745,1.4,1.4,0.61,0.61,0.69,0.69,13.61806,13.61806,6.8281,6.8281,7.6398,7.6398,3.44,3.44,1.54,1.54,1.91,1.91,0.285,0.285,1.15,1.15,0.96,0.96,2913,2913,3287,-182.962,-182.962,3287,13.4,13.4,8.6,8.6,8.9,8.9,4.51,4.51,290.3,290.3,295.6,295.6,1455,1455,1670,1670,0.445,0.445,0.522,0.522,0.907,0.907,0.219,0.219,1.107,0.755,1.21,0.833774255
2,"3","Pb2CoNbO6",3,15.9994,15.9994,58.9332,92.90638,207.2,207.2,3.5,3.5,1.7,1.23,1.55,1.55,1.565,1.565,0.768,0.683,1.21,1.21,1.33,1.33,0.78,1.26,1.26,0.75,1.4,1.4,0.55,0.64,1.19,1.19,13.61806,13.61806,7.881,6.75885,7.41666,7.41666,3.44,3.44,1.88,1.6,1.8,1.8,0.285,0.285,0.92,1.23,0.96,0.96,1749,1749,2927,-182.962,-182.962,4744,28.9,28.9,13,7.3,11.3,11.3,8.86,8.57,23.1,23.1,272.5,323,327.46,327.46,1495,2477,0.127,0.127,0.421,0.265,0.353,0.353,1,0.537,1.565,0.7255,1.21,1.013805899
2,"3","Pb2FeNbO6",3,15.9994,15.9994,55.845,92.90638,207.2,207.2,3.5,3.5,1.64,1.23,1.55,1.55,1.565,1.565,0.768,0.805,1.21,1.21,1.33,1.33,0.78,1.26,1.26,0.69,1.4,1.4,0.55,0.64,1.19,1.19,13.61806,13.61806,7.9024,6.75885,7.41666,7.41666,3.44,3.44,1.83,1.6,1.8,1.8,0.285,0.285,0.95,1.23,0.96,0.96,1749,1749,2861,-182.962,-182.962,4744,28.9,28.9,11.8,7.3,11.3,11.3,7.87,8.57,23.1,23.1,247.3,323,327.46,327.46,1538,2477,0.127,0.127,0.449,0.265,0.353,0.353,0.802,0.537,1.565,0.7865,1.21,0.982830612
3,"16","Pb2HgCrO6",16,15.9994,15.9994,200.59,51.9961,207.2,207.2,3.5,3.5,1.44,1.56,1.55,1.55,1.565,1.565,0.58,1.168,1.21,1.21,1.33,1.33,0.58,1.26,1.26,1.16,1.4,1.4,1.02,0.44,1.19,1.19,13.61806,13.61806,10.4375,6.7665,7.41666,7.41666,3.44,3.44,1.9,1.66,1.8,1.8,0.285,0.285,1.07,1.07,0.96,0.96,1749,1749,356.62,-182.962,-182.962,2671,28.9,28.9,60.4,4.9,11.3,11.3,13.5336,7.15,23.1,23.1,11.4,404,327.46,327.46,-38.83,1907,0.127,0.127,0.139,0.45,0.353,0.353,0.0834,0.937,1.565,0.874,1.21,0.941564932
2,"3","Pb2InNbO6",3,15.9994,15.9994,114.818,92.90638,207.2,207.2,3.5,3.5,1.49,1.23,1.55,1.55,1.565,1.565,0.768,0.948,1.21,1.21,1.33,1.33,0.78,1.26,1.26,0.94,1.4,1.4,0.8,0.64,1.19,1.19,13.61806,13.61806,5.78636,6.75885,7.41666,7.41666,3.44,3.44,1.78,1.6,1.8,1.8,0.285,0.285,0.94,1.23,0.96,0.96,1749,1749,2072,-182.962,-182.962,4744,28.9,28.9,32.1,7.3,11.3,11.3,7.31,8.57,23.1,23.1,28.6,323,327.46,327.46,156.6,2477,0.127,0.127,0.233,0.265,0.353,0.353,0.816,0.537,1.565,0.858,1.21,0.948849767
3,"16","Pb3WO6",7,15.9994,15.9994,207.2,183.84,207.2,207.2,3.5,3.5,1.55,1.4,1.55,1.55,1.565,1.565,0.71,1.308,1.21,1.21,1.33,1.33,0.74,1.26,1.26,1.33,1.4,1.4,1.19,0.6,1.19,1.19,13.61806,13.61806,7.41666,7.864,7.41666,7.41666,3.44,3.44,1.8,1.7,1.8,1.8,0.285,0.285,0.96,1.22,0.96,0.96,1749,1749,1749,-182.962,-182.962,5555,28.9,28.9,28.9,4.5,11.3,11.3,11.3,19.3,23.1,23.1,23.1,284.5,327.46,327.46,327.46,3414,0.127,0.127,0.127,0.132,0.353,0.353,0.353,1.74,1.565,1.009,1.21,0.884281802
2,"3","PbSnO3",8,15.9994,15.9994,118.71,118.71,207.2,207.2,3.5,3.5,1.72,1.72,1.55,1.55,1.565,1.565,0.845,0.845,1.21,1.21,1.33,1.33,0.83,1.26,1.26,0.83,1.4,1.4,0.69,0.69,1.19,1.19,13.61806,13.61806,7.3439,7.3439,7.41666,7.41666,3.44,3.44,1.96,1.96,1.8,1.8,0.285,0.285,0.88,0.88,0.96,0.96,1749,1749,2602,-182.962,-182.962,2602,28.9,28.9,22,22,11.3,11.3,7.26,7.26,23.1,23.1,60.4,60.4,327.46,327.46,231.93,231.93,0.127,0.127,0.227,0.227,0.353,0.353,0.666,0.666,1.565,0.845,1.21,0.954852223
1,"5","ScAlO3",5,15.9994,15.9994,26.981538,26.981538,44.95591,44.95591,3.5,3.5,1.47,1.47,1.2,1.2,1.152,1.152,0.666,0.666,1.21,1.21,0.885,0.885,0.675,1.26,1.26,0.675,1.4,1.4,0.54,0.54,0.75,0.75,13.61806,13.61806,5.98577,5.98577,6.5615,6.5615,3.44,3.44,1.61,1.61,1.36,1.36,0.285,0.285,0.77,0.77,1.22,1.22,2836,2836,2519,-182.962,-182.962,2519,10.2,10.2,23.1,23.1,2.99,2.99,2.7,2.7,314,314,399.9,399.9,1541,1541,660.32,660.32,0.567,0.567,0.904,0.904,0.158,0.158,2.37,2.37,1.152,0.666,1.21,0.890291161
1,"5","ScCrO3",5,15.9994,15.9994,51.9961,51.9961,44.95591,44.95591,3.5,3.5,1.56,1.56,1.2,1.2,1.152,1.152,0.77,0.77,1.21,1.21,0.885,0.885,0.755,1.26,1.26,0.755,1.4,1.4,0.62,0.62,0.75,0.75,13.61806,13.61806,6.7665,6.7665,6.5615,6.5615,3.44,3.44,1.66,1.66,1.36,1.36,0.285,0.285,1.07,1.07,1.22,1.22,2836,2836,2671,-182.962,-182.962,2671,10.2,10.2,4.9,4.9,2.99,2.99,7.15,7.15,314,314,404,404,1541,1541,1907,1907,0.567,0.567,0.45,0.45,0.158,0.158,0.937,0.937,1.152,0.77,1.21,0.843528393
