".","nnGroupCat","Compound","GroupCat","AtomicMassofX","AtomicMassofXprime","AtomicMassofB","AtomicMassofBprime","AtomicMassofA","AtomicMassofAprime","ARENofX","ARENofXprime","ARENofB","ARENofBprime","ARENofA","ARENofAprime","r_XIIofA","r_XIIofAprime","r_VIofBprime","r_VIofB","rofX","rofXprime","CrystalRadiusofA","CrystalRadiusofAprime","CrystalRadiusofBprime","CrystalRadiusofX","CrystalRadiusofXprime","CrystalRadiusofB","IonicRadiiofX","IonicRadiiofXprime","IonicRadiiofB","IonicRadiiofBprime","IonicRadiiofA","IonicRadiiofAprime","IonizationPotentialofX","IonizationPotentialofXprime","IonizationPotentialofB","IonizationPotentialofBprime","IonizationPotentialofA","IonizationPotentialofAprime","PaulingENofX","PaulingENofXprime","PaulingENofB","PaulingENofBprime","PaulingENofA","PaulingENofAprime","ZungerRadiiofX","ZungerRadiiofXprime","ZungerRadiiofB","ZungerRadiiofBprime","ZungerRadiiofA","ZungerRadiiofAprime","BoilingPtofA","BoilingPtofAprime","BoilingPtofB","BoilingPtofX","BoilingPtofXprime","BoilingPtofBprime","CoefficientofLinearThermalExpansionatSpecofA","CoefficientofLinearThermalExpansionatSpecofAprime","CoefficientofLinearThermalExpansionatSpecofB","CoefficientofLinearThermalExpansionatSpecofBprime","DensityatSpecofA","DensityatSpecofAprime","DensityatSpecofB","DensityatSpecofBprime","EnthalpyofFusionofA","EnthalpyofFusionofAprime","EnthalpyofFusionofB","EnthalpyofFusionofBprime","MeltingPtofA","MeltingPtofAprime","MeltingPtofB","MeltingPtofBprime","SpecificHeatCapacityofA","SpecificHeatCapacityofAprime","SpecificHeatCapacityofB","SpecificHeatCapacityofBprime","ThermalHeatConductivityofA","ThermalHeatConductivityofAprime","ThermalHeatConductivityofB","ThermalHeatConductivityofBprime","rA","rB","rX","ToleranceBVP"
4,"6","CsFeCl3",6,35.453,35.453,55.845,55.845,132.90545,132.90545,2.83,2.83,1.64,1.64,0.8,0.8,2.126,2.126,0.93,0.93,1.67,1.67,1.81,1.81,0.75,1.67,1.67,0.75,1.81,1.81,0.61,0.61,1.67,1.67,12.96764,12.96764,7.9024,7.9024,3.8939,3.8939,3.16,3.16,1.83,1.83,0.79,0.79,0.5,0.5,0.95,0.95,1.71,1.71,671,671,2861,-34.04,-34.04,2861,97,97,11.8,11.8,1.93,1.93,7.87,7.87,15.7,15.7,247.3,247.3,28.44,28.44,1538,1538,0.242,0.242,0.449,0.449,0.359,0.359,0.802,0.802,2.126,0.93,1.67,1.032375901
4,"6","CsFeF3",6,18.9984032,18.9984032,55.845,55.845,132.90545,132.90545,4.1,4.1,1.64,1.64,0.8,0.8,2.126,2.126,0.93,0.93,1.145,1.145,1.81,1.81,0.75,1.19,1.19,0.75,1.33,1.33,0.61,0.61,1.67,1.67,17.42282,17.42282,7.9024,7.9024,3.8939,3.8939,3.98,3.98,1.83,1.83,0.79,0.79,0.25,0.25,0.95,0.95,1.71,1.71,671,671,2861,-188.11,-188.11,2861,97,97,11.8,11.8,1.93,1.93,7.87,7.87,15.7,15.7,247.3,247.3,28.44,28.44,1538,1538,0.242,0.242,0.449,0.449,0.359,0.359,0.802,0.802,2.126,0.93,1.145,1.114672907
2,"3","CsHgF3",3,18.9984032,18.9984032,200.59,200.59,132.90545,132.90545,4.1,4.1,1.44,1.44,0.8,0.8,2.126,2.126,1.168,1.168,1.145,1.145,1.81,1.81,1.16,1.19,1.19,1.16,1.33,1.33,1.02,1.02,1.67,1.67,17.42282,17.42282,10.4375,10.4375,3.8939,3.8939,3.98,3.98,1.9,1.9,0.79,0.79,0.25,0.25,1.07,1.07,1.71,1.71,671,671,356.62,-188.11,-188.11,356.62,97,97,60.4,60.4,1.93,1.93,13.5336,13.5336,15.7,15.7,11.4,11.4,28.44,28.44,-38.83,-38.83,0.242,0.242,0.139,0.139,0.359,0.359,0.0834,0.0834,2.126,1.168,1.145,0.999976775
4,"6","CsMgBr3",6,79.904,79.904,24.305,24.305,132.90545,132.90545,2.74,2.74,1.23,1.23,0.8,0.8,2.126,2.126,0.889,0.889,1.82,1.82,1.81,1.81,0.86,1.82,1.82,0.86,1.96,1.96,0.72,0.72,1.67,1.67,11.81381,11.81381,7.64624,7.64624,3.8939,3.8939,2.96,2.96,1.31,1.31,0.79,0.79,0.58,0.58,0.9,0.9,1.71,1.71,671,671,1090,58.8,58.8,1090,97,97,24.8,24.8,1.93,1.93,1.74,1.74,15.7,15.7,348.9,348.9,28.44,28.44,650,650,0.242,0.242,1.024,1.024,0.359,0.359,1.56,1.56,2.126,0.889,1.82,1.029990166
4,"6","CsMgCl3",6,35.453,35.453,24.305,24.305,132.90545,132.90545,2.83,2.83,1.23,1.23,0.8,0.8,2.126,2.126,0.889,0.889,1.67,1.67,1.81,1.81,0.86,1.67,1.67,0.86,1.81,1.81,0.72,0.72,1.67,1.67,12.96764,12.96764,7.64624,7.64624,3.8939,3.8939,3.16,3.16,1.31,1.31,0.79,0.79,0.5,0.5,0.9,0.9,1.71,1.71,671,671,1090,-34.04,-34.04,1090,97,97,24.8,24.8,1.93,1.93,1.74,1.74,15.7,15.7,348.9,348.9,28.44,28.44,650,650,0.242,0.242,1.024,1.024,0.359,0.359,1.56,1.56,2.126,0.889,1.67,1.048916507
2,"3","CsMgF3",3,18.9984032,18.9984032,24.305,24.305,132.90545,132.90545,4.1,4.1,1.23,1.23,0.8,0.8,2.126,2.126,0.889,0.889,1.145,1.145,1.81,1.81,0.86,1.19,1.19,0.86,1.33,1.33,0.72,0.72,1.67,1.67,17.42282,17.42282,7.64624,7.64624,3.8939,3.8939,3.98,3.98,1.31,1.31,0.79,0.79,0.25,0.25,0.9,0.9,1.71,1.71,671,671,1090,-188.11,-188.11,1090,97,97,24.8,24.8,1.93,1.93,1.74,1.74,15.7,15.7,348.9,348.9,28.44,28.44,650,650,0.242,0.242,1.024,1.024,0.359,0.359,1.56,1.56,2.126,0.889,1.145,1.137141731
4,"6","CsMgI3",6,126.90447,126.90447,24.305,24.305,132.90545,132.90545,2.21,2.21,1.23,1.23,0.8,0.8,2.126,2.126,0.889,0.889,2.06,2.06,1.81,1.81,0.86,2.06,2.06,0.86,2.2,2.2,0.72,0.72,1.67,1.67,10.45126,10.45126,7.64624,7.64624,3.8939,3.8939,2.66,2.66,1.31,1.31,0.79,0.79,0.755,0.755,0.9,0.9,1.71,1.71,671,671,1090,184.4,184.4,1090,97,97,24.8,24.8,1.93,1.93,1.74,1.74,15.7,15.7,348.9,348.9,28.44,28.44,650,650,0.242,0.242,1.024,1.024,0.359,0.359,1.56,1.56,2.126,0.889,2.06,1.003712779
4,"6","CsMnBr3",6,79.904,79.904,54.938049,54.938049,132.90545,132.90545,2.74,2.74,1.6,1.6,0.8,0.8,2.126,2.126,0.986,0.986,1.82,1.82,1.81,1.81,0.81,1.82,1.82,0.81,1.96,1.96,0.83,0.83,1.67,1.67,11.81381,11.81381,7.43402,7.43402,3.8939,3.8939,2.96,2.96,1.55,1.55,0.79,0.79,0.58,0.58,0.99,0.99,1.71,1.71,671,671,2061,58.8,58.8,2061,97,97,21.7,21.7,1.93,1.93,7.3,7.3,15.7,15.7,235,235,28.44,28.44,1246,1246,0.242,0.242,0.479,0.479,0.359,0.359,0.0782,0.0782,2.126,0.986,1.82,0.994384661
4,"6","CsMnI3",6,126.90447,126.90447,54.938049,54.938049,132.90545,132.90545,2.21,2.21,1.6,1.6,0.8,0.8,2.126,2.126,0.986,0.986,2.06,2.06,1.81,1.81,0.81,2.06,2.06,0.81,2.2,2.2,0.83,0.83,1.67,1.67,10.45126,10.45126,7.43402,7.43402,3.8939,3.8939,2.66,2.66,1.55,1.55,0.79,0.79,0.755,0.755,0.99,0.99,1.71,1.71,671,671,2061,184.4,184.4,2061,97,97,21.7,21.7,1.93,1.93,7.3,7.3,15.7,15.7,235,235,28.44,28.44,1246,1246,0.242,0.242,0.479,0.479,0.359,0.359,0.0782,0.0782,2.126,0.986,2.06,0.971749503
3,"16","CsNbO3",16,15.9994,15.9994,92.90638,92.90638,132.90545,132.90545,3.5,3.5,1.23,1.23,0.8,0.8,2.126,2.126,0.768,0.768,1.21,1.21,1.81,1.81,0.78,1.26,1.26,0.78,1.4,1.4,0.64,0.64,1.67,1.67,13.61806,13.61806,6.75885,6.75885,3.8939,3.8939,3.44,3.44,1.6,1.6,0.79,0.79,0.285,0.285,1.23,1.23,1.71,1.71,671,671,4744,-182.962,-182.962,4744,97,97,7.3,7.3,1.93,1.93,8.57,8.57,15.7,15.7,323,323,28.44,28.44,2477,2477,0.242,0.242,0.265,0.265,0.359,0.359,0.537,0.537,2.126,0.768,1.21,1.192572408
