"node_in","node_out","weight"
"PC6","1layhid5",-5.03119282536042
"PC7","1layhid5",-0.933982997056096
"PC8","1layhid5",-2.35972411318195
"PC9","1layhid5",0.320007120976761
"PC10","1layhid5",1.07498991959991
"PC11","1layhid5",3.11022864161295
"PC12","1layhid5",0.936341723864671
"PC13","1layhid5",-2.15189623565269
"PC14","1layhid5",-1.00690767748094
"PC15","1layhid5",3.59020983324699
"PC16","1layhid5",2.49833757309528
"Intercept","1layhid6",-4.13270623113899
"PC1","1layhid6",-1.08529057881087
"PC2","1layhid6",0.434681601211477
"PC3","1layhid6",0.670533785419588
"PC4","1layhid6",0.335803941421025
"PC5","1layhid6",-0.872974648638556
"PC6","1layhid6",-0.305321821994527
"PC7","1layhid6",-1.68486388307532
"PC8","1layhid6",-0.588869253134165
"PC9","1layhid6",-0.594210329140811
"PC10","1layhid6",-3.3057897112952
"PC11","1layhid6",-0.652481611868426
"PC12","1layhid6",-0.323879621334331
"PC13","1layhid6",2.76447800687595
"PC14","1layhid6",0.0112388276347887
"PC15","1layhid6",0.180904386011004
"PC16","1layhid6",-0.980558659448745
"Intercept","1layhid7",1.09756870675204
"PC1","1layhid7",2.59176659464429
"PC2","1layhid7",0.376955758451511
"PC3","1layhid7",-1.21566315956237
"PC4","1layhid7",0.511043872980086
"PC5","1layhid7",-1.28325759681221
"PC6","1layhid7",-0.130700625024058
"PC7","1layhid7",0.193144287602611
"PC8","1layhid7",-0.00613966779832573
"PC9","1layhid7",-2.95517265738757
"PC10","1layhid7",0.39214054686066
"PC11","1layhid7",0.0698724116644284
"PC12","1layhid7",2.20626653615308
"PC13","1layhid7",-1.03767547652046
"PC14","1layhid7",2.59354099425193
"PC15","1layhid7",1.27555917696518
"PC16","1layhid7",0.509121534804806
"Intercept","1layhid8",-0.762636043730984
"PC1","1layhid8",-0.810841706421543
"PC2","1layhid8",-5.98672185541321
"PC3","1layhid8",1.47010920019169
"PC4","1layhid8",-1.39386807216378
"PC5","1layhid8",-0.909127349553719
"PC6","1layhid8",1.55611607118224
"PC7","1layhid8",-0.887094089313367
"PC8","1layhid8",-0.89086961691556
"PC9","1layhid8",2.21799669202998
"PC10","1layhid8",-1.95509937133198
"PC11","1layhid8",-1.83306421872079
"PC12","1layhid8",0.975335528037252
"PC13","1layhid8",0.102368074456287
"PC14","1layhid8",-0.850803566563328
"PC15","1layhid8",1.18784883355099
"PC16","1layhid8",0.654947472774758
"Intercept","1layhid9",-0.462515455734616
"PC1","1layhid9",1.1318979984427
"PC2","1layhid9",3.0271253504967
"PC3","1layhid9",-0.392727581533892
"PC4","1layhid9",0.963636118635417
"PC5","1layhid9",3.52132432553536
"PC6","1layhid9",-0.776082217708372
"PC7","1layhid9",-1.59549857096994
"PC8","1layhid9",-0.8341090219509
"PC9","1layhid9",0.98282031426923
"PC10","1layhid9",-0.0332616633013545
"PC11","1layhid9",-0.721885880109373
"PC12","1layhid9",-0.245095765346835
"PC13","1layhid9",-1.04981777182668
"PC14","1layhid9",-0.111264044372479
"PC15","1layhid9",1.98165166387171
"PC16","1layhid9",3.74129383776126
"Intercept","1layhid10",-0.746504694903927
"PC1","1layhid10",-2.08809428583132
"PC2","1layhid10",0.675145426509469
"PC3","1layhid10",1.21383686982713
"PC4","1layhid10",-1.05653129719253
"PC5","1layhid10",0.111669309305064
"PC6","1layhid10",0.361899469017772
"PC7","1layhid10",0.12410419464084
"PC8","1layhid10",1.14681862805223
"PC9","1layhid10",-0.048426708271928
"PC10","1layhid10",-0.808055369795148
"PC11","1layhid10",-2.59097642750748
"PC12","1layhid10",1.28659908336013
"PC13","1layhid10",-3.10303306241787
"PC14","1layhid10",0.895673116241475
"PC15","1layhid10",0.973426904269592
"PC16","1layhid10",2.45389390297655
"Intercept","1layhid11",-1.70712792458491
"PC1","1layhid11",-0.913748636356188
"PC2","1layhid11",-2.86948134503428
"PC3","1layhid11",-0.858316039422642
"PC4","1layhid11",-0.102699978630861
"PC5","1layhid11",0.459145395973614
"PC6","1layhid11",-3.72645625860991
"PC7","1layhid11",1.63554357901185
"PC8","1layhid11",-1.56739372314137
"PC9","1layhid11",-1.3586310519081
"PC10","1layhid11",4.8438551545395
"PC11","1layhid11",-0.140594860333618
"PC12","1layhid11",-2.5065319198301
"PC13","1layhid11",-0.122987123920514
"PC14","1layhid11",-0.880604875825633
"PC15","1layhid11",-2.00843173287575
"PC16","1layhid11",2.91853533110931
"Intercept","1layhid12",0.809783474764962
"PC1","1layhid12",-0.0304637096092311
"PC2","1layhid12",-2.720115202921
"PC3","1layhid12",1.59153147678595
"PC4","1layhid12",-0.276573380954878
"PC5","1layhid12",1.62889198925487
"PC6","1layhid12",0.680120153719754
"PC7","1layhid12",7.08332602528837
"PC8","1layhid12",0.0474131579851131
"PC9","1layhid12",1.97850318879579
"PC10","1layhid12",7.70835123522623
"PC11","1layhid12",-1.50132722072384
"PC12","1layhid12",0.335643856101587
"PC13","1layhid12",3.51780515288705
"PC14","1layhid12",1.24541796901937
"PC15","1layhid12",-0.564402239691609
"PC16","1layhid12",-2.44688753997395
"Intercept","1layhid13",0.657354692807167
"PC1","1layhid13",-1.41201018306352
"PC2","1layhid13",-3.13283605401577
"PC3","1layhid13",0.32995223631151
"PC4","1layhid13",1.41802302069072
"PC5","1layhid13",-2.39811901573455
"PC6","1layhid13",0.284122092536887
"PC7","1layhid13",-0.586624003776484
"PC8","1layhid13",1.38240667691495
"PC9","1layhid13",-0.27079640080923
"PC10","1layhid13",0.428646642834008
"PC11","1layhid13",-1.94668711155287
"PC12","1layhid13",0.826320994675512
"PC13","1layhid13",1.31723422141635
"PC14","1layhid13",-0.863120375120782
"PC15","1layhid13",1.40560889593084
"PC16","1layhid13",5.16133259087489
"Intercept","1layhid14",0.262521652910553
