"feature","group_cat","lower","upper","est"
"ZofA","Cubic",NA,NA,0.0158400324927785
"ZofAprime","Cubic",NA,NA,1.26546638172096e-16
"ZofB","Cubic",NA,NA,0
"ZofBprime","Cubic",NA,NA,0
"(Intercept)","Others",NA,NA,-3.40038447548748
"ARENofA","Others",NA,NA,0
"ARENofAprime","Others",NA,NA,0
"ARENofB","Others",NA,NA,0
"ARENofBprime","Others",NA,NA,0
"AtomicMassofA","Others",NA,NA,0
"AtomicMassofAprime","Others",NA,NA,0
"AtomicMassofB","Others",NA,NA,0
"AtomicMassofBprime","Others",NA,NA,0
"BoilingPtofA","Others",NA,NA,0
"BoilingPtofAprime","Others",NA,NA,0
"BoilingPtofB","Others",NA,NA,0
"BoilingPtofBprime","Others",NA,NA,0
"CalculatedDensity","Others",NA,NA,0
"CoefficientofLinearThermalExpansionatSpecofA","Others",NA,NA,0
"CoefficientofLinearThermalExpansionatSpecofAprime","Others",NA,NA,0
"CoefficientofLinearThermalExpansionatSpecofB","Others",NA,NA,0
"CoefficientofLinearThermalExpansionatSpecofBprime","Others",NA,NA,0
"CrystalRadiusofA","Others",NA,NA,0
"CrystalRadiusofAprime","Others",NA,NA,0
"CrystalRadiusofB","Others",NA,NA,0
"CrystalRadiusofBprime","Others",NA,NA,0
"DensityatSpecofA","Others",NA,NA,0
"DensityatSpecofAprime","Others",NA,NA,0
"DensityatSpecofB","Others",NA,NA,0
"DensityatSpecofBprime","Others",NA,NA,0
"EnthalpyofFusionofA","Others",NA,NA,0
"EnthalpyofFusionofAprime","Others",NA,NA,0
"EnthalpyofFusionofB","Others",NA,NA,0.00280790412350243
"EnthalpyofFusionofBprime","Others",NA,NA,0
"GroupofA","Others",NA,NA,0
"GroupofAprime","Others",NA,NA,0
"GroupofB","Others",NA,NA,0
"GroupofBprime","Others",NA,NA,0
"IonicRadiiofA","Others",NA,NA,0
"IonicRadiiofAprime","Others",NA,NA,0
"IonicRadiiofB","Others",NA,NA,0
"IonicRadiiofBprime","Others",NA,NA,0
"IonizationPotentialofA","Others",NA,NA,0
"IonizationPotentialofAprime","Others",NA,NA,0
"IonizationPotentialofB","Others",NA,NA,0
"IonizationPotentialofBprime","Others",NA,NA,0
"MeltingPtofA","Others",NA,NA,0
"MeltingPtofAprime","Others",NA,NA,0
"MeltingPtofB","Others",NA,NA,0
"MeltingPtofBprime","Others",NA,NA,0
"MendeleevNumberofA","Others",NA,NA,0
"MendeleevNumberofAprime","Others",NA,NA,0
"MendeleevNumberofB","Others",NA,NA,0
"MendeleevNumberofBprime","Others",NA,NA,0
"PaulingENofA","Others",NA,NA,0
"PaulingENofAprime","Others",NA,NA,0
"PaulingENofB","Others",NA,NA,0
"PaulingENofBprime","Others",NA,NA,0
"PeriodofA","Others",NA,NA,0
"PeriodofAprime","Others",NA,NA,0
"PeriodofB","Others",NA,NA,0
"PeriodofBprime","Others",NA,NA,0
"r_VIIofB","Others",NA,NA,0
"r_VIofB","Others",NA,NA,0
"r_VIofBprime","Others",NA,NA,0
"r_XIIofA","Others",NA,NA,0
"r_XIIofAprime","Others",NA,NA,0
"rA","Others",NA,NA,0
"rB","Others",NA,NA,0
"SpecificHeatCapacityofA","Others",NA,NA,0
"SpecificHeatCapacityofAprime","Others",NA,NA,0
"SpecificHeatCapacityofB","Others",NA,NA,0.352727973379854
"SpecificHeatCapacityofBprime","Others",NA,NA,0
"Temperature","Others",NA,NA,0
"ThermalHeatConductivityofA","Others",NA,NA,0
"ThermalHeatConductivityofAprime","Others",NA,NA,0
"ThermalHeatConductivityofB","Others",NA,NA,0
"ThermalHeatConductivityofBprime","Others",NA,NA,0
"ToleranceBVP","Others",NA,NA,0
"ValenceElectronsofA","Others",NA,NA,0
"ValenceElectronsofAprime","Others",NA,NA,0
"ValenceElectronsofB","Others",NA,NA,0
"ValenceElectronsofBprime","Others",NA,NA,0
"Vc","Others",NA,NA,0
"Volume","Others",NA,NA,0.00365865715388167
"ZofA","Others",NA,NA,0
"ZofAprime","Others",NA,NA,0
"ZofB","Others",NA,NA,0
"ZofBprime","Others",NA,NA,0
"ZungerRadiiofA","Others",NA,NA,0
"ZungerRadiiofAprime","Others",NA,NA,0
"ZungerRadiiofB","Others",NA,NA,0
"ZungerRadiiofBprime","Others",NA,NA,0
"CalculatedDensity","Tilted",NA,NA,0
"GroupofA","Tilted",NA,NA,0
"GroupofAprime","Tilted",NA,NA,0
"GroupofB","Tilted",NA,NA,0
"GroupofBprime","Tilted",NA,NA,0
"MendeleevNumberofA","Tilted",NA,NA,0
"MendeleevNumberofAprime","Tilted",NA,NA,0
"MendeleevNumberofB","Tilted",NA,NA,0
"MendeleevNumberofBprime","Tilted",NA,NA,0
"PeriodofA","Tilted",NA,NA,0
"PeriodofAprime","Tilted",NA,NA,0
"PeriodofB","Tilted",NA,NA,0
"PeriodofBprime","Tilted",NA,NA,0
"Temperature","Tilted",NA,NA,0
"ValenceElectronsofA","Tilted",NA,NA,0
"ValenceElectronsofAprime","Tilted",NA,NA,0
"ValenceElectronsofB","Tilted",NA,NA,0
"ValenceElectronsofBprime","Tilted",NA,NA,0
"Volume","Tilted",NA,NA,0
"ZofA","Tilted",NA,NA,0
"ZofAprime","Tilted",NA,NA,0
"ZofB","Tilted",NA,NA,0
"ZofBprime","Tilted",NA,NA,0
