Compound,GroupCat,AtomicMassofX,AtomicMassofXprime,AtomicMassofB,AtomicMassofBprime,AtomicMassofA,AtomicMassofAprime,ARENofX,ARENofXprime,ARENofB,ARENofBprime,ARENofA,ARENofAprime,r_XIIofA,r_XIIofAprime,r_VIofBprime,r_VIofB,rofX,rofXprime,IonizationPotentialofX,IonizationPotentialofXprime,IonizationPotentialofB,IonizationPotentialofBprime,IonizationPotentialofA,IonizationPotentialofAprime,PaulingENofX,PaulingENofXprime,PaulingENofB,PaulingENofBprime,PaulingENofA,PaulingENofAprime,BoilingPtofA,BoilingPtofAprime,BoilingPtofB,BoilingPtofBprime,CoefficientofLinearThermalExpansionatSpecofA,CoefficientofLinearThermalExpansionatSpecofAprime,CoefficientofLinearThermalExpansionatSpecofB,CoefficientofLinearThermalExpansionatSpecofBprime,DensityatSpecofA,DensityatSpecofAprime,DensityatSpecofB,DensityatSpecofBprime,EnthalpyofFusionofA,EnthalpyofFusionofAprime,EnthalpyofFusionofB,EnthalpyofFusionofBprime,MeltingPtofA,MeltingPtofAprime,MeltingPtofB,MeltingPtofBprime,SpecificHeatCapacityofA,SpecificHeatCapacityofAprime,SpecificHeatCapacityofB,SpecificHeatCapacityofBprime,ThermalHeatConductivityofA,ThermalHeatConductivityofAprime,ThermalHeatConductivityofB,ThermalHeatConductivityofBprime,ToleranceBVP
RbMnF3,3,18.9984032,18.9984032,54.938049,54.938049,85.4678,85.4678,4.1,4.1,1.6,1.6,0.89,0.89,1.972,1.972,0.986,0.986,1.145,1.145,17.42282,17.42282,7.43402,7.43402,4.17713,4.17713,3.98,3.98,1.55,1.55,0.82,0.82,688,688,2061,2061,-300,-300,21.7,21.7,1.53,1.53,7.3,7.3,25.6,25.6,235,235,39.3,39.3,1246,1246,0.364,0.364,0.479,0.479,0.582,0.582,0.0782,0.0782,1.034280543
RbNbO3,16,15.9994,15.9994,92.90638,92.90638,85.4678,85.4678,3.5,3.5,1.23,1.23,0.89,0.89,1.972,1.972,0.768,0.768,1.21,1.21,13.61806,13.61806,6.75885,6.75885,4.17713,4.17713,3.44,3.44,1.6,1.6,0.82,0.82,688,688,4744,4744,-300,-300,7.3,7.3,1.53,1.53,8.57,8.57,25.6,25.6,323,323,39.3,39.3,2477,2477,0.364,0.364,0.265,0.265,0.582,0.582,0.537,0.537,1.137519605
RbNiBr3,6,79.904,79.904,58.6934,58.6934,85.4678,85.4678,2.74,2.74,1.75,1.75,0.89,0.89,1.972,1.972,0.85,0.85,1.82,1.82,11.81381,11.81381,7.6398,7.6398,4.17713,4.17713,2.96,2.96,1.91,1.91,0.82,0.82,688,688,2913,2913,-300,-300,13.4,13.4,1.53,1.53,8.9,8.9,25.6,25.6,290.3,290.3,39.3,39.3,1455,1455,0.364,0.364,0.445,0.445,0.582,0.582,0.907,0.907,1.00425053
RbSeMoO6,16,15.9994,15.9994,78.96,95.94,85.4678,85.4678,3.5,3.5,2.48,1.3,0.89,0.89,1.972,1.972,0.7,0.751,1.21,1.21,13.61806,13.61806,9.75238,7.09243,4.17713,4.17713,3.44,3.44,2.55,2.16,0.82,0.82,688,688,685,4639,-300,-300,-300,4.8,1.53,1.53,-300,10.2,25.6,25.6,-300,390.7,39.3,39.3,-300,2622,0.364,0.364,-300,0.251,0.582,0.582,-300,1.38,1.162497431
RbTaO3,16,15.9994,15.9994,180.9479,180.9479,85.4678,85.4678,3.5,3.5,1.33,1.33,0.89,0.89,1.972,1.972,0.777,0.777,1.21,1.21,13.61806,13.61806,7.5496,7.5496,4.17713,4.17713,3.44,3.44,1.5,1.5,0.82,0.82,688,688,5458,5458,-300,-300,6.3,6.3,1.53,1.53,16.4,16.4,25.6,25.6,202.1,202.1,39.3,39.3,3007,3007,0.364,0.364,0.14,0.14,0.582,0.582,0.575,0.575,1.132367276
RbTiBr3,6,79.904,79.904,47.867,47.867,85.4678,85.4678,2.74,2.74,1.32,1.32,0.89,0.89,1.972,1.972,-300,-300,1.82,1.82,11.81381,11.81381,6.8281,6.8281,4.17713,4.17713,2.96,2.96,1.54,1.54,0.82,0.82,688,688,3287,3287,-300,-300,8.6,8.6,1.53,1.53,4.51,4.51,25.6,25.6,295.6,295.6,39.3,39.3,1670,1670,0.364,0.364,0.522,0.522,0.582,0.582,0.219,0.219,-300
RbTiCl3,6,35.453,35.453,47.867,47.867,85.4678,85.4678,2.83,2.83,1.32,1.32,0.89,0.89,1.972,1.972,-300,-300,1.67,1.67,12.96764,12.96764,6.8281,6.8281,4.17713,4.17713,3.16,3.16,1.54,1.54,0.82,0.82,688,688,3287,3287,-300,-300,8.6,8.6,1.53,1.53,4.51,4.51,25.6,25.6,295.6,295.6,39.3,39.3,1670,1670,0.364,0.364,0.522,0.522,0.582,0.582,0.219,0.219,-300
RbUO3,3,15.9994,15.9994,238.02891,238.02891,85.4678,85.4678,3.5,3.5,-300,-300,0.89,0.89,1.972,1.972,0.932,0.932,1.21,1.21,13.61806,13.61806,6.19405,6.19405,4.17713,4.17713,3.44,3.44,1.7,1.7,0.82,0.82,688,688,4131,4131,-300,-300,13.9,13.9,1.53,1.53,19.1,19.1,25.6,25.6,38.4,38.4,39.3,39.3,1135,1135,0.364,0.364,0.116,0.116,0.582,0.582,0.276,0.276,1.0504266
RbVBr3,6,79.904,79.904,50.9415,50.9415,85.4678,85.4678,2.74,2.74,1.45,1.45,0.89,0.89,1.972,1.972,0.896,0.896,1.82,1.82,11.81381,11.81381,6.7462,6.7462,4.17713,4.17713,2.96,2.96,1.63,1.63,0.82,0.82,688,688,3407,3407,-300,-300,8.4,8.4,1.53,1.53,6,6,25.6,25.6,422,422,39.3,39.3,1910,1910,0.364,0.364,0.489,0.489,0.582,0.582,0.307,0.307,0.987241868
RbVCl3,6,-300,-300,50.9415,50.9415,85.4678,85.4678,-300,-300,1.45,1.45,0.89,0.89,1.972,1.972,0.896,0.896,-300,-300,-300,-300,6.7462,6.7462,4.17713,4.17713,-300,-300,1.63,1.63,0.82,0.82,688,688,3407,3407,-300,-300,8.4,8.4,1.53,1.53,6,6,25.6,25.6,422,422,39.3,39.3,1910,1910,0.364,0.364,0.489,0.489,0.582,0.582,0.307,0.307,0.704563028
