Compound,GroupCat,AtomicMassofX,AtomicMassofXprime,AtomicMassofB,AtomicMassofBprime,AtomicMassofA,AtomicMassofAprime,ARENofX,ARENofXprime,ARENofB,ARENofBprime,ARENofA,ARENofAprime,r_XIIofA,r_XIIofAprime,r_VIofBprime,r_VIofB,rofX,rofXprime,IonizationPotentialofX,IonizationPotentialofXprime,IonizationPotentialofB,IonizationPotentialofBprime,IonizationPotentialofA,IonizationPotentialofAprime,PaulingENofX,PaulingENofXprime,PaulingENofB,PaulingENofBprime,PaulingENofA,PaulingENofAprime,BoilingPtofA,BoilingPtofAprime,BoilingPtofB,BoilingPtofBprime,CoefficientofLinearThermalExpansionatSpecofA,CoefficientofLinearThermalExpansionatSpecofAprime,CoefficientofLinearThermalExpansionatSpecofB,CoefficientofLinearThermalExpansionatSpecofBprime,DensityatSpecofA,DensityatSpecofAprime,DensityatSpecofB,DensityatSpecofBprime,EnthalpyofFusionofA,EnthalpyofFusionofAprime,EnthalpyofFusionofB,EnthalpyofFusionofBprime,MeltingPtofA,MeltingPtofAprime,MeltingPtofB,MeltingPtofBprime,SpecificHeatCapacityofA,SpecificHeatCapacityofAprime,SpecificHeatCapacityofB,SpecificHeatCapacityofBprime,ThermalHeatConductivityofA,ThermalHeatConductivityofAprime,ThermalHeatConductivityofB,ThermalHeatConductivityofBprime,ToleranceBVP
Sm2NaIrO6,NaN,15.9994,15.9994,22.98977,192.217,150.36,150.36,3.5,3.5,1.01,1.55,-300,-300,1.391,1.391,0.773,1.256,1.21,1.21,13.61806,13.61806,5.13908,8.967,5.6436,5.6436,3.44,3.44,0.93,2.2,1.17,1.17,1794,1794,882.94,4428,12.7,12.7,71,6.4,7.52,7.52,0.97,22.5,57.3,57.3,113.1,213.9,1074,1074,97.79,2446,0.196,0.196,1.225,0.131,0.133,0.133,1.41,1.47,0.826785677
SmRhO3,NaN,15.9994,15.9994,102.9055,102.9055,150.36,150.36,3.5,3.5,1.45,1.45,-300,-300,1.391,1.391,0.839,0.839,1.21,1.21,13.61806,13.61806,7.4589,7.4589,5.6436,5.6436,3.44,3.44,2.28,2.28,1.17,1.17,1794,1794,3695,3695,12.7,12.7,8.2,8.2,7.52,7.52,12.4,12.4,57.3,57.3,258.4,258.4,1074,1074,1963,1963,0.196,0.196,0.243,0.243,0.133,0.133,1.5,1.5,0.897601141
TbRhO3,NaN,15.9994,15.9994,102.9055,102.9055,158.92534,158.92534,3.5,3.5,1.45,1.45,-300,-300,1.335,1.335,0.839,0.839,1.21,1.21,13.61806,13.61806,7.4589,7.4589,5.8638,5.8638,3.44,3.44,2.28,2.28,-300,-300,3230,3230,3695,3695,10.3,10.3,8.2,8.2,8.23,8.23,12.4,12.4,67.9,67.9,258.4,258.4,1356,1356,1963,1963,0.182,0.182,0.243,0.243,0.111,0.111,1.5,1.5,0.878275626
AgCuF3,5,18.9984032,18.9984032,63.546,63.546,107.8682,107.8682,4.1,4.1,1.75,1.75,1.42,1.42,1.551,1.551,0.875,0.875,1.145,1.145,17.42282,17.42282,7.72638,7.72638,7.5762,7.5762,3.98,3.98,1.9,1.9,1.93,1.93,2162,2162,2562,2562,18.9,18.9,16.5,16.5,10.5,10.5,8.96,8.96,104.6,104.6,203.5,203.5,961.78,961.78,1084.62,1084.62,0.235,0.235,0.384,0.384,4.29,4.29,4.01,4.01,0.943742516
AgNbO3,5,15.9994,15.9994,92.90638,92.90638,107.8682,107.8682,3.5,3.5,1.23,1.23,1.42,1.42,1.551,1.551,0.768,0.768,1.21,1.21,13.61806,13.61806,6.75885,6.75885,7.5762,7.5762,3.44,3.44,1.6,1.6,1.93,1.93,2162,2162,4744,4744,18.9,18.9,7.3,7.3,10.5,10.5,8.57,8.57,104.6,104.6,323,323,961.78,961.78,2477,2477,0.235,0.235,0.265,0.265,4.29,4.29,0.537,0.537,0.987018111
AgTaS3,11,32.065,32.065,180.9479,180.9479,107.8682,107.8682,2.44,2.44,1.33,1.33,1.42,1.42,1.551,1.551,0.777,0.777,-300,-300,10.36001,10.36001,7.5496,7.5496,7.5762,7.5762,2.58,2.58,1.5,1.5,1.93,1.93,2162,2162,5458,5458,18.9,18.9,6.3,6.3,10.5,10.5,16.4,16.4,104.6,104.6,202.1,202.1,961.78,961.78,3007,3007,0.235,0.235,0.14,0.14,4.29,4.29,0.575,0.575,0.705277708
AgZnF3,3,18.9984032,18.9984032,65.409,65.409,107.8682,107.8682,4.1,4.1,1.66,1.66,1.42,1.42,1.551,1.551,0.9,0.9,1.145,1.145,17.42282,17.42282,9.3942,9.3942,7.5762,7.5762,3.98,3.98,1.65,1.65,1.93,1.93,2162,2162,907,907,18.9,18.9,30.2,30.2,10.5,10.5,7.14,7.14,104.6,104.6,108.1,108.1,961.78,961.78,419.53,419.53,0.235,0.235,0.388,0.388,4.29,4.29,1.16,1.16,0.932205321
AlBO3,13,15.9994,15.9994,10.811,10.811,26.981538,26.981538,3.5,3.5,2.01,2.01,1.47,1.47,0.923,0.923,0.417,0.417,1.21,1.21,13.61806,13.61806,8.29803,8.29803,5.98577,5.98577,3.44,3.44,2.04,2.04,1.61,1.61,2519,2519,-300,-300,23.1,23.1,-300,-300,2.7,2.7,-300,-300,399.9,399.9,-300,-300,660.32,660.32,-300,-300,0.904,0.904,-300,-300,2.37,2.37,-300,-300,0.927018294
B2BaTiO6,NaN,15.9994,15.9994,137.327,47.867,10.811,10.811,3.5,3.5,0.97,1.32,2.01,2.01,0.674,0.674,0.755,1.481,1.21,1.21,13.61806,13.61806,5.2117,6.8281,8.29803,8.29803,3.44,3.44,0.89,1.54,2.04,2.04,-300,-300,1897,3287,-300,-300,20.6,8.6,-300,-300,3.62,4.51,-300,-300,51.8,295.6,-300,-300,727,1670,-300,-300,0.205,0.522,-300,-300,0.184,0.219,0.57224621
B2BaZrO6,NaN,15.9994,15.9994,137.327,91.224,10.811,10.811,3.5,3.5,0.97,1.22,2.01,2.01,0.674,0.674,0.868,1.481,1.21,1.21,13.61806,13.61806,5.2117,6.6339,8.29803,8.29803,3.44,3.44,0.89,1.33,2.04,2.04,-300,-300,1897,4409,-300,-300,20.6,5.7,-300,-300,3.62,6.52,-300,-300,51.8,230.2,-300,-300,727,1854,-300,-300,0.205,0.278,-300,-300,0.184,0.227,0.55868701
B2CaSnO6,NaN,15.9994,15.9994,40.078,118.71,10.811,10.811,3.5,3.5,1.04,1.72,2.01,2.01,0.674,0.674,0.845,1.163,1.21,1.21,13.61806,13.61806,6.11316,7.3439,8.29803,8.29803,3.44,3.44,1,1.96,2.04,2.04,-300,-300,1484,2602,-300,-300,22.3,22,-300,-300,1.54,7.26,-300,-300,213.1,60.4,-300,-300,842,231.93,-300,-300,0.646,0.227,-300,-300,2,0.666,0.601711461
B2CsNbO6,NaN,15.9994,15.9994,132.90545,92.90638,10.811,10.811,3.5,3.5,0.8,1.23,2.01,2.01,0.674,0.674,0.768,1.87,1.21,1.21,13.61806,13.61806,3.8939,6.75885,8.29803,8.29803,3.44,3.44,0.79,1.6,2.04,2.04,-300,-300,671,4744,-300,-300,97,7.3,-300,-300,1.93,8.57,-300,-300,15.7,323,-300,-300,28.44,2477,-300,-300,0.242,0.265,-300,-300,0.359,0.537,0.526765194
B2CsTaO6,NaN,15.9994,15.9994,132.90545,180.9479,10.811,10.811,3.5,3.5,0.8,1.33,2.01,2.01,0.674,0.674,0.777,1.87,1.21,1.21,13.61806,13.61806,3.8939,7.5496,8.29803,8.29803,3.44,3.44,0.79,1.5,2.04,2.04,-300,-300,671,5458,-300,-300,97,6.3,-300,-300,1.93,16.4,-300,-300,15.7,202.1,-300,-300,28.44,3007,-300,-300,0.242,0.14,-300,-300,0.359,0.575,0.525829554
B2KNbO6,NaN,15.9994,15.9994,39.0983,39.0983,10.811,10.811,3.5,3.5,0.91,0.91,2.01,2.01,0.674,0.674,-300,1.585,1.21,1.21,13.61806,13.61806,4.34066,4.34066,8.29803,8.29803,3.44,3.44,0.82,0.82,2.04,2.04,-300,-300,759,759,-300,-300,83.3,83.3,-300,-300,0.89,0.89,-300,-300,59.6,59.6,-300,-300,63.38,63.38,-300,-300,0.757,0.757,-300,-300,1.024,1.024,-300
B2KSbO6,NaN,15.9994,15.9994,39.0983,39.0983,10.811,10.811,3.5,3.5,0.91,0.91,2.01,2.01,0.674,0.674,-300,1.585,1.21,1.21,13.61806,13.61806,4.34066,4.34066,8.29803,8.29803,3.44,3.44,0.82,0.82,2.04,2.04,-300,-300,759,759,-300,-300,83.3,83.3,-300,-300,0.89,0.89,-300,-300,59.6,59.6,-300,-300,63.38,63.38,-300,-300,0.757,0.757,-300,-300,1.024,1.024,-300
B2KTaO6,NaN,15.9994,15.9994,39.0983,39.0983,10.811,10.811,3.5,3.5,0.91,0.91,2.01,2.01,0.674,0.674,-300,1.585,1.21,1.21,13.61806,13.61806,4.34066,4.34066,8.29803,8.29803,3.44,3.44,0.82,0.82,2.04,2.04,-300,-300,759,759,-300,-300,83.3,83.3,-300,-300,0.89,0.89,-300,-300,59.6,59.6,-300,-300,63.38,63.38,-300,-300,0.757,0.757,-300,-300,1.024,1.024,-300
B2MgSnO6,NaN,15.9994,15.9994,24.305,118.71,10.811,10.811,3.5,3.5,1.23,1.72,2.01,2.01,0.674,0.674,0.845,0.889,1.21,1.21,13.61806,13.61806,7.64624,7.3439,8.29803,8.29803,3.44,3.44,1.31,1.96,2.04,2.04,-300,-300,1090,2602,-300,-300,24.8,22,-300,-300,1.74,7.26,-300,-300,348.9,60.4,-300,-300,650,231.93,-300,-300,1.024,0.227,-300,-300,1.56,0.666,0.641400662
B2MnSnO6,NaN,15.9994,15.9994,54.938049,118.71,10.811,10.811,3.5,3.5,1.6,1.72,2.01,2.01,0.674,0.674,0.845,0.986,1.21,1.21,13.61806,13.61806,7.43402,7.3439,8.29803,8.29803,3.44,3.44,1.55,1.96,2.04,2.04,-300,-300,2061,2602,-300,-300,21.7,22,-300,-300,7.3,7.26,-300,-300,235,60.4,-300,-300,1246,231.93,-300,-300,0.479,0.227,-300,-300,0.0782,0.666,0.626765079
B2RbNbO6,NaN,15.9994,15.9994,85.4678,92.90638,10.811,10.811,3.5,3.5,0.89,1.23,2.01,2.01,0.674,0.674,0.768,1.716,1.21,1.21,13.61806,13.61806,4.17713,6.75885,8.29803,8.29803,3.44,3.44,0.82,1.6,2.04,2.04,-300,-300,688,4744,-300,-300,-300,7.3,-300,-300,1.53,8.57,-300,-300,25.6,323,-300,-300,39.3,2477,-300,-300,0.364,0.265,-300,-300,0.582,0.537,0.543307168
B2SrSnO6,NaN,15.9994,15.9994,87.62,118.71,10.811,10.811,3.5,3.5,0.99,1.72,2.01,2.01,0.674,0.674,0.845,1.314,1.21,1.21,13.61806,13.61806,5.6949,7.3439,8.29803,8.29803,3.44,3.44,0.95,1.96,2.04,2.04,-300,-300,1382,2602,-300,-300,22.5,22,-300,-300,2.64,7.26,-300,-300,84.8,60.4,-300,-300,777,231.93,-300,-300,0.306,0.227,-300,-300,0.353,0.666,0.581869044
B2TiNbO6,NaN,15.9994,15.9994,47.867,92.90638,10.811,10.811,3.5,3.5,1.32,1.23,2.01,2.01,0.674,0.674,0.768,-300,1.21,1.21,13.61806,13.61806,6.8281,6.75885,8.29803,8.29803,3.44,3.44,1.54,1.6,2.04,2.04,-300,-300,3287,4744,-300,-300,8.6,7.3,-300,-300,4.51,8.57,-300,-300,295.6,323,-300,-300,1670,2477,-300,-300,0.522,0.265,-300,-300,0.219,0.537,-300
B2YCrO6,NaN,15.9994,15.9994,88.90585,88.90585,10.811,10.811,3.5,3.5,1.11,1.11,2.01,2.01,0.674,0.674,1.065,1.065,1.21,1.21,13.61806,13.61806,6.2171,6.2171,8.29803,8.29803,3.44,3.44,1.22,1.22,2.04,2.04,-300,-300,3345,3345,-300,-300,10.6,10.6,-300,-300,4.47,4.47,-300,-300,128,128,-300,-300,1522,1522,-300,-300,0.298,0.298,-300,-300,0.172,0.172,0.58557766
Ba2BiRuO6,16,15.9994,15.9994,208.98038,101.07,137.327,137.327,3.5,3.5,1.67,1.42,0.97,0.97,1.738,1.738,0.757,1.14,1.21,1.21,13.61806,13.61806,7.2856,7.3605,5.2117,5.2117,3.44,3.44,1.9,2.2,0.89,0.89,1897,1897,1564,4150,20.6,20.6,13.4,6.4,3.62,3.62,9.79,12.1,51.8,51.8,53.3,381.8,727,727,271.4,2333,0.205,0.205,0.122,0.238,0.184,0.184,0.0787,1.17,0.965740464
Ba2BiSbO6,5,15.9994,15.9994,208.98038,121.76,137.327,137.327,3.5,3.5,1.67,1.82,0.97,0.97,1.738,1.738,0.799,1.14,1.21,1.21,13.61806,13.61806,7.2856,8.6084,5.2117,5.2117,3.44,3.44,1.9,2.05,0.89,0.89,1897,1897,1564,1587,20.6,20.6,13.4,11,3.62,3.62,9.79,6.68,51.8,51.8,53.3,162.5,727,727,271.4,630.63,0.205,0.205,0.122,0.207,0.184,0.184,0.0787,0.243,0.956435325
Ba2CaMoO6,3,15.9994,15.9994,40.078,95.94,137.327,137.327,3.5,3.5,1.04,1.3,0.97,0.97,1.738,1.738,0.7,1.163,1.21,1.21,13.61806,13.61806,6.11316,7.09243,5.2117,5.2117,3.44,3.44,1,2.16,0.89,0.89,1897,1897,1484,4639,20.6,20.6,22.3,4.8,3.62,3.62,1.54,10.2,51.8,51.8,213.1,390.7,727,727,842,2622,0.205,0.205,0.646,0.251,0.184,0.184,2,1.38,0.97340686
Ba2CaWO6,5,15.9994,15.9994,40.078,183.84,137.327,137.327,3.5,3.5,1.04,1.4,0.97,0.97,1.738,1.738,0.71,1.163,1.21,1.21,13.61806,13.61806,6.11316,7.864,5.2117,5.2117,3.44,3.44,1,1.7,0.89,0.89,1897,1897,1484,5555,20.6,20.6,22.3,4.5,3.62,3.62,1.54,19.3,51.8,51.8,213.1,284.5,727,727,842,3414,0.205,0.205,0.646,0.132,0.184,0.184,2,1.74,0.971139432
Ba2CdReO6,3,15.9994,15.9994,112.411,186.207,137.327,137.327,3.5,3.5,1.46,1.46,0.97,0.97,1.738,1.738,0.65,1.1,1.21,1.21,13.61806,13.61806,8.9938,7.8335,5.2117,5.2117,3.44,3.44,1.69,1.9,0.89,0.89,1897,1897,767,5596,20.6,20.6,30.8,6.2,3.62,3.62,8.69,20.8,51.8,51.8,55.2,324.5,727,727,321.07,3186,0.205,0.205,0.231,0.137,0.184,0.184,0.968,0.479,0.999784552
Ba2CdUO6,3,15.9994,15.9994,112.411,238.02891,137.327,137.327,3.5,3.5,1.46,-300,0.97,0.97,1.738,1.738,0.84,1.1,1.21,1.21,13.61806,13.61806,8.9938,6.19405,5.2117,5.2117,3.44,3.44,1.69,1.7,0.89,0.89,1897,1897,767,4131,20.6,20.6,30.8,13.9,3.62,3.62,8.69,19.1,51.8,51.8,55.2,38.4,727,727,321.07,1135,0.205,0.205,0.231,0.116,0.184,0.184,0.968,0.276,0.956215959
Ba2CeNbO6,5,15.9994,15.9994,140.116,92.90638,137.327,137.327,3.5,3.5,-300,1.23,0.97,0.97,1.738,1.738,0.768,1.197,1.21,1.21,13.61806,13.61806,5.5387,6.75885,5.2117,5.2117,3.44,3.44,1.12,1.6,0.89,0.89,1897,1897,3443,4744,20.6,20.6,6.3,7.3,3.62,3.62,6.77,8.57,51.8,51.8,39,323,727,727,798,2477,0.205,0.205,0.192,0.265,0.184,0.184,0.113,0.537,0.950764329
Ba2CePtO6,3,15.9994,15.9994,140.116,195.078,137.327,137.327,3.5,3.5,-300,1.44,0.97,0.97,1.738,1.738,0.819,0.968,1.21,1.21,13.61806,13.61806,5.5387,8.9587,5.2117,5.2117,3.44,3.44,1.12,2.2,0.89,0.89,1897,1897,3443,3825,20.6,20.6,6.3,8.8,3.62,3.62,6.77,21.5,51.8,51.8,39,113.6,727,727,798,1768.2,0.205,0.205,0.192,0.133,0.184,0.184,0.113,0.716,0.990991581
Ba2CeTaO6,5,15.9994,15.9994,140.116,180.9479,137.327,137.327,3.5,3.5,-300,1.33,0.97,0.97,1.738,1.738,0.777,1.197,1.21,1.21,13.61806,13.61806,5.5387,7.5496,5.2117,5.2117,3.44,3.44,1.12,1.5,0.89,0.89,1897,1897,3443,5458,20.6,20.6,6.3,6.3,3.62,3.62,6.77,16.4,51.8,51.8,39,202.1,727,727,798,3007,0.205,0.205,0.192,0.14,0.184,0.184,0.113,0.575,0.948816928
Ba2CoIrO6,16,15.9994,15.9994,58.9332,192.217,137.327,137.327,3.5,3.5,1.7,1.55,0.97,0.97,1.738,1.738,0.773,0.683,1.21,1.21,13.61806,13.61806,7.881,8.967,5.2117,5.2117,3.44,3.44,1.88,2.2,0.89,0.89,1897,1897,2927,4428,20.6,20.6,13,6.4,3.62,3.62,8.86,22.5,51.8,51.8,272.5,213.9,727,727,1495,2446,0.205,0.205,0.421,0.131,0.184,0.184,1,1.47,1.075619603
Ba2CoSbO6,3,15.9994,15.9994,58.9332,121.76,137.327,137.327,3.5,3.5,1.7,1.82,0.97,0.97,1.738,1.738,0.799,0.683,1.21,1.21,13.61806,13.61806,7.881,8.6084,5.2117,5.2117,3.44,3.44,1.88,2.05,0.89,0.89,1897,1897,2927,1587,20.6,20.6,13,11,3.62,3.62,8.86,6.68,51.8,51.8,272.5,162.5,727,727,1495,630.63,0.205,0.205,0.421,0.207,0.184,0.184,1,0.243,1.068452481
Ba2CoUO6,3,15.9994,15.9994,58.9332,238.02891,137.327,137.327,3.5,3.5,1.7,-300,0.97,0.97,1.738,1.738,0.84,0.888,1.21,1.21,13.61806,13.61806,7.881,6.19405,5.2117,5.2117,3.44,3.44,1.88,1.7,0.89,0.89,1897,1897,2927,4131,20.6,20.6,13,13.9,3.62,3.62,8.86,19.1,51.8,51.8,272.5,38.4,727,727,1495,1135,0.205,0.205,0.421,0.116,0.184,0.184,1,0.276,1.00508717
Ba2CoWO6,3,15.9994,15.9994,58.9332,183.84,137.327,137.327,3.5,3.5,1.7,1.4,0.97,0.97,1.738,1.738,0.71,0.888,1.21,1.21,13.61806,13.61806,7.881,7.864,5.2117,5.2117,3.44,3.44,1.88,1.7,0.89,0.89,1897,1897,2927,5555,20.6,20.6,13,4.5,3.62,3.62,8.86,19.3,51.8,51.8,272.5,284.5,727,727,1495,3414,0.205,0.205,0.421,0.132,0.184,0.184,1,1.74,1.037606168
Ba2CrTaO6,6,15.9994,15.9994,51.9961,180.9479,137.327,137.327,3.5,3.5,1.56,1.33,0.97,0.97,1.738,1.738,0.777,0.77,1.21,1.21,13.61806,13.61806,6.7665,7.5496,5.2117,5.2117,3.44,3.44,1.66,1.5,0.89,0.89,1897,1897,2671,5458,20.6,20.6,4.9,6.3,3.62,3.62,7.15,16.4,51.8,51.8,404,202.1,727,727,1907,3007,0.205,0.205,0.45,0.14,0.184,0.184,0.937,0.575,1.050945697
Ba2CrUO6,5,15.9994,15.9994,51.9961,238.02891,137.327,137.327,3.5,3.5,1.56,-300,0.97,0.97,1.738,1.738,0.932,0.77,1.21,1.21,13.61806,13.61806,6.7665,6.19405,5.2117,5.2117,3.44,3.44,1.66,1.7,0.89,0.89,1897,1897,2671,4131,20.6,20.6,4.9,13.9,3.62,3.62,7.15,19.1,51.8,51.8,404,38.4,727,727,1907,1135,0.205,0.205,0.45,0.116,0.184,0.184,0.937,0.276,1.011426876
Ba2CuOsO6,5,15.9994,15.9994,63.546,190.23,137.327,137.327,3.5,3.5,1.75,1.52,0.97,0.97,1.738,1.738,0.82,0.875,1.21,1.21,13.61806,13.61806,7.72638,8.4382,5.2117,5.2117,3.44,3.44,1.9,2.2,0.89,0.89,1897,1897,2562,5012,20.6,20.6,16.5,5.1,3.62,3.62,8.96,22.59,51.8,51.8,203.5,304.1,727,727,1084.62,3033,0.205,0.205,0.384,0.13,0.184,0.184,4.01,0.876,1.013147408
Ba2CuTeO6,5,15.9994,15.9994,63.546,127.6,137.327,137.327,3.5,3.5,1.75,2.01,0.97,0.97,1.738,1.738,0.71,0.875,1.21,1.21,13.61806,13.61806,7.72638,9.0096,5.2117,5.2117,3.44,3.44,1.9,2.1,0.89,0.89,1897,1897,2562,-300,20.6,20.6,16.5,-300,3.62,3.62,8.96,-300,51.8,51.8,203.5,-300,727,727,1084.62,-300,0.205,0.205,0.384,-300,0.184,0.184,4.01,-300,1.040974178
Ba2CuUO6,5,15.9994,15.9994,63.546,238.02891,137.327,137.327,3.5,3.5,1.75,-300,0.97,0.97,1.738,1.738,0.84,0.875,1.21,1.21,13.61806,13.61806,7.72638,6.19405,5.2117,5.2117,3.44,3.44,1.9,1.7,0.89,0.89,1897,1897,2562,4131,20.6,20.6,16.5,13.9,3.62,3.62,8.96,19.1,51.8,51.8,203.5,38.4,727,727,1084.62,1135,0.205,0.205,0.384,0.116,0.184,0.184,4.01,0.276,1.008247057
Ba2DyBiO6,3,15.9994,15.9994,162.5,208.98038,137.327,137.327,3.5,3.5,-300,1.67,0.97,0.97,1.738,1.738,0.917,1.047,1.21,1.21,13.61806,13.61806,5.9389,7.2856,5.2117,5.2117,3.44,3.44,1.22,1.9,0.89,0.89,1897,1897,2567,1564,20.6,20.6,9.9,13.4,3.62,3.62,8.55,9.79,51.8,51.8,68.1,53.3,727,727,1412,271.4,0.205,0.205,0.17,0.122,0.184,0.184,0.107,0.0787,0.9509812
Ba2DyReO6,3,15.9994,15.9994,162.5,186.207,137.327,137.327,3.5,3.5,-300,1.46,0.97,0.97,1.738,1.738,0.717,1.047,1.21,1.21,13.61806,13.61806,5.9389,7.8335,5.2117,5.2117,3.44,3.44,1.22,1.9,0.89,0.89,1897,1897,2567,5596,20.6,20.6,9.9,6.2,3.62,3.62,8.55,20.8,51.8,51.8,68.1,324.5,727,727,1412,3186,0.205,0.205,0.17,0.137,0.184,0.184,0.107,0.479,0.996439193
Ba2ErNbO6,3,15.9994,15.9994,167.259,92.90638,137.327,137.327,3.5,3.5,-300,1.23,0.97,0.97,1.738,1.738,0.768,1.034,1.21,1.21,13.61806,13.61806,6.1077,6.75885,5.2117,5.2117,3.44,3.44,1.24,1.6,0.89,0.89,1897,1897,2868,4744,20.6,20.6,12.2,7.3,3.62,3.62,9.07,8.57,51.8,51.8,119,323,727,727,1529,2477,0.205,0.205,0.168,0.265,0.184,0.184,0.145,0.537,0.987470768
Ba2ErRuO6,3,15.9994,15.9994,167.259,101.07,137.327,137.327,3.5,3.5,-300,1.42,0.97,0.97,1.738,1.738,0.757,1.034,1.21,1.21,13.61806,13.61806,6.1077,7.3605,5.2117,5.2117,3.44,3.44,1.24,2.2,0.89,0.89,1897,1897,2868,4150,20.6,20.6,12.2,6.4,3.62,3.62,9.07,12.1,51.8,51.8,119,381.8,727,727,1529,2333,0.205,0.205,0.168,0.238,0.184,0.184,0.145,1.17,0.990050245
Ba2ErSbO6,3,15.9994,15.9994,167.259,121.76,137.327,137.327,3.5,3.5,-300,1.82,0.97,0.97,1.738,1.738,0.799,1.034,1.21,1.21,13.61806,13.61806,6.1077,8.6084,5.2117,5.2117,3.44,3.44,1.24,2.05,0.89,0.89,1897,1897,2868,1587,20.6,20.6,12.2,11,3.62,3.62,9.07,6.68,51.8,51.8,119,162.5,727,727,1529,630.63,0.205,0.205,0.168,0.207,0.184,0.184,0.145,0.243,0.980273121
Ba2EuIrO6,NaN,15.9994,15.9994,151.964,192.217,137.327,137.327,3.5,3.5,-300,1.55,0.97,0.97,1.738,1.738,0.773,1.12,1.21,1.21,13.61806,13.61806,5.6704,8.967,5.2117,5.2117,3.44,3.44,-300,2.2,0.89,0.89,1897,1897,1529,4428,20.6,20.6,35,6.4,3.62,3.62,5.24,22.5,51.8,51.8,60.6,213.9,727,727,822,2446,0.205,0.205,0.182,0.131,0.184,0.184,0.139,1.47,0.966636119
Ba2EuNbO6,5,15.9994,15.9994,151.964,92.90638,137.327,137.327,3.5,3.5,-300,1.23,0.97,0.97,1.738,1.738,0.768,1.12,1.21,1.21,13.61806,13.61806,5.6704,6.75885,5.2117,5.2117,3.44,3.44,-300,1.6,0.89,0.89,1897,1897,1529,4744,20.6,20.6,35,7.3,3.62,3.62,5.24,8.57,51.8,51.8,60.6,323,727,727,822,2477,0.205,0.205,0.182,0.265,0.184,0.184,0.139,0.537,0.967758027
Ba2EuReO6,3,15.9994,15.9994,151.964,186.207,137.327,137.327,3.5,3.5,-300,1.46,0.97,0.97,1.738,1.738,0.717,1.12,1.21,1.21,13.61806,13.61806,5.6704,7.8335,5.2117,5.2117,3.44,3.44,-300,1.9,0.89,0.89,1897,1897,1529,5596,20.6,20.6,35,6.2,3.62,3.62,5.24,20.8,51.8,51.8,60.6,324.5,727,727,822,3186,0.205,0.205,0.182,0.137,0.184,0.184,0.139,0.479,0.979352028
Ba2EuSbO6,3,15.9994,15.9994,151.964,121.76,137.327,137.327,3.5,3.5,-300,1.82,0.97,0.97,1.738,1.738,0.799,1.12,1.21,1.21,13.61806,13.61806,5.6704,8.6084,5.2117,5.2117,3.44,3.44,-300,2.05,0.89,0.89,1897,1897,1529,1587,20.6,20.6,35,11,3.62,3.62,5.24,6.68,51.8,51.8,60.6,162.5,727,727,822,630.63,0.205,0.205,0.182,0.207,0.184,0.184,0.139,0.243,0.960843877
Ba2EuTaO6,5,15.9994,15.9994,151.964,180.9479,137.327,137.327,3.5,3.5,-300,1.33,0.97,0.97,1.738,1.738,0.777,1.12,1.21,1.21,13.61806,13.61806,5.6704,7.5496,5.2117,5.2117,3.44,3.44,-300,1.5,0.89,0.89,1897,1897,1529,5458,20.6,20.6,35,6.3,3.62,3.62,5.24,16.4,51.8,51.8,60.6,202.1,727,727,822,3007,0.205,0.205,0.182,0.14,0.184,0.184,0.139,0.575,0.965740464
Ba2FeMoO6,3,15.9994,15.9994,55.845,95.94,137.327,137.327,3.5,3.5,1.64,1.3,0.97,0.97,1.738,1.738,0.7,0.93,1.21,1.21,13.61806,13.61806,7.9024,7.09243,5.2117,5.2117,3.44,3.44,1.83,2.16,0.89,0.89,1897,1897,2861,4639,20.6,20.6,11.8,4.8,3.62,3.62,7.87,10.2,51.8,51.8,247.3,390.7,727,727,1538,2622,0.205,0.205,0.449,0.251,0.184,0.184,0.802,1.38,1.029407798
Ba2FeNbO6,3,15.9994,15.9994,55.845,92.90638,137.327,137.327,3.5,3.5,1.64,1.23,0.97,0.97,1.738,1.738,0.768,0.805,1.21,1.21,13.61806,13.61806,7.9024,6.75885,5.2117,5.2117,3.44,3.44,1.83,1.6,0.89,0.89,1897,1897,2861,4744,20.6,20.6,11.8,7.3,3.62,3.62,7.87,8.57,51.8,51.8,247.3,323,727,727,1538,2477,0.205,0.205,0.449,0.265,0.184,0.184,0.802,0.537,1.044102575
Ba2FeReO6,3,15.9994,15.9994,55.845,186.207,137.327,137.327,3.5,3.5,1.64,1.46,0.97,0.97,1.738,1.738,0.717,0.805,1.21,1.21,13.61806,13.61806,7.9024,7.8335,5.2117,5.2117,3.44,3.44,1.83,1.9,0.89,0.89,1897,1897,2861,5596,20.6,20.6,11.8,6.2,3.62,3.62,7.87,20.8,51.8,51.8,247.3,324.5,727,727,1538,3186,0.205,0.205,0.449,0.137,0.184,0.184,0.802,0.479,1.057610751
Ba2FeUO6,3,15.9994,15.9994,55.845,238.02891,137.327,137.327,3.5,3.5,1.64,-300,0.97,0.97,1.738,1.738,0.932,0.805,1.21,1.21,13.61806,13.61806,7.9024,6.19405,5.2117,5.2117,3.44,3.44,1.83,1.7,0.89,0.89,1897,1897,2861,4131,20.6,20.6,11.8,13.9,3.62,3.62,7.87,19.1,51.8,51.8,247.3,38.4,727,727,1538,1135,0.205,0.205,0.449,0.116,0.184,0.184,0.802,0.276,1.002911133
